Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,0.0,RU # Russian,B1,most frequent,Abstract Concepts,anger,strong;hot;big;bad;fast;deep;sudden;blind;raw;great
grok-3-mini,think-in-native,0.0,RU # Russian,B1,most frequent,Abstract Concepts,courage,brave;strong;good;big;true;great;bold;fearless;steady;smart
grok-3-mini,think-in-native,0.0,RU # Russian,B1,most frequent,Abstract Concepts,fear,big;strong;cold;dark;sudden;deep;bad;quick;real;old
grok-3-mini,think-in-native,0.0,RU # Russian,B1,most frequent,Abstract Concepts,freedom,great;true;big;good;new;full;strong;real;open;sweet
grok-3-mini,think-in-native,0.0,RU # Russian,B1,most frequent,Abstract Concepts,happiness,great;big;true;good;warm;bright;full;real;simple;strong
grok-3-mini,think-in-native,0.0,RU # Russian,B1,most frequent,Abstract Concepts,hate,strong;deep;bad;big;cold;blind;pure;real;quick;dark
grok-3-mini,think-in-native,0.0,RU # Russian,B1,most frequent,Abstract Concepts,honesty,true;good;real;simple;strong;pure;full;clear;bright;big
grok-3-mini,think-in-native,0.0,RU # Russian,B1,most frequent,Abstract Concepts,justice,fair;good;true;strong;real;blind;pure;great;full;clear
grok-3-mini,think-in-native,0.0,RU # Russian,B1,most frequent,Abstract Concepts,knowledge,great;deep;wide;true;good;real;new;old;strong;simple
grok-3-mini,think-in-native,0.0,RU # Russian,B1,most frequent,Abstract Concepts,love,great;true;deep;strong;pure;real;warm;big;sweet;blind
grok-3-mini,think-in-native,0.0,RU # Russian,B1,most frequent,Abstract Concepts,peace,great;true;quiet;good;full;real;warm;strong;simple;deep
grok-3-mini,think-in-native,0.0,RU # Russian,B1,most frequent,Abstract Concepts,wisdom,great;deep;true;old;good;real;strong;pure;clear;simple
grok-3-mini,think-in-native,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,bell,big;old;loud;small;new;shiny;broken;clear;round;metal
grok-3-mini,think-in-native,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,candle,small;old;new;bright;warm;broken;long;short;red;white
grok-3-mini,think-in-native,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,carpet,big;old;new;soft;dirty;clean;red;blue;thick;thin
grok-3-mini,think-in-native,0.0,RU # Russian,B1,most frequent,Cultural Artifacts,coin,old;new;small;shiny;gold;silver;round;heavy;rare;dirty
