Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,anger,strong;hot;sudden;deep;bad;quick;intense;bitter;wild;dark
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,courage,brave;strong;great;true;quiet;big;firm;bold;steady;clear
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,fear,big;cold;sudden;deep;dark;strong;quick;bad;wild;weak
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,freedom,great;full;true;new;wide;strong;clear;good;pure;easy
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,happiness,great;full;bright;warm;true;deep;good;pure;simple;strong
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,hate,strong;deep;bitter;cold;bad;wild;dark;quick;intense;pure
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,honesty,true;good;clear;simple;strong;pure;firm;bright;full;easy
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,justice,fair;strong;true;good;clear;firm;pure;great;simple;quick
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,knowledge,great;deep;wide;true;good;clear;strong;new;full;simple
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,love,true;deep;strong;warm;pure;great;sweet;full;bright;good
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,peace,quiet;full;true;good;deep;warm;strong;clear;pure;easy
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,wisdom,great;deep;true;clear;strong;good;pure;firm;wide;simple
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;clear;bright;metal;simple;round
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,candle,small;tall;bright;warm;white;simple;old;new;soft;clean
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,carpet,big;soft;old;new;clean;dirty;thick;colorful;warm;flat
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,coin,small;old;new;shiny;metal;round;light;gold;silver;hard
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,crown,big;gold;old;new;shiny;heavy;royal;beautiful;simple;strong
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,flag,big;colorful;old;new;bright;national;simple;high;clean;red
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,mask,small;old;new;colorful;simple;hard;black;white;funny;scary
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,necklace,beautiful;small;old;new;shiny;gold;simple;long;light;colorful
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,painting,beautiful;old;new;big;small;colorful;simple;bright;clear;dark
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,ring,small;gold;old;new;shiny;simple;beautiful;heavy;light;round
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,statue,big;old;new;stone;tall;strong;beautiful;simple;white;cold
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;beautiful;simple;glass;colorful;tall;clean
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,cloud,white;big;dark;light;soft;high;gray;fast;low;cold
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,earthquake,strong;big;sudden;deep;bad;wild;quick;dangerous;long;rare
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,fog,thick;white;cold;heavy;low;wet;gray;quiet;dark;slow
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,lightning,bright;fast;strong;sudden;wild;hot;dangerous;quick;long;white
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;wet;strong;quick;soft;long;dark;fresh
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,rainbow,beautiful;bright;colorful;big;clear;high;simple;rare;wide;soft
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;light;fresh;wet;thick;pure;quiet
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,storm,strong;big;wild;dark;quick;loud;dangerous;cold;long;wet
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,thunder,loud;strong;sudden;deep;wild;quick;dark;bad;long;scary
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;big;quiet;wet;cold;deep;regular
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,volcano,big;hot;active;dangerous;tall;wild;old;strong;deep;rare
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;light;wild;quiet;warm;dry;high;soft
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,apple,red;green;big;small;fresh;sweet;juicy;hard;clean;round
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,banana,yellow;big;small;fresh;sweet;soft;long;clean;ripe;green
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,beef,fresh;red;good;bad;cooked;raw;soft;hard;big;hot
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,bread,fresh;soft;white;brown;big;small;warm;dry;good;simple
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,broccoli,green;fresh;big;small;hard;soft;good;raw;cooked;clean
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,cheese,yellow;soft;hard;fresh;good;bad;big;small;warm;cold
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,chicken,fresh;cooked;raw;white;big;small;soft;good;bad;hot
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,egg,white;big;small;fresh;hard;soft;clean;raw;cooked;round
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,fish,fresh;big;small;silver;good;bad;wet;cooked;raw;fast
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,pasta,long;short;cooked;soft;dry;white;good;bad;hot;simple
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,rice,white;cooked;dry;soft;good;bad;long;short;clean;hot
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,soup,hot;cold;good;bad;thick;thin;fresh;simple;red;clear
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,artist,creative;good;young;old;talented;busy;happy;famous;simple;quiet
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,athlete,strong;fast;young;good;fit;active;tall;quick;skilled;brave
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,chef,good;busy;skilled;young;old;creative;fast;clean;happy;simple
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,doctor,good;busy;skilled;young;old;kind;helpful;smart;careful;strong
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,engineer,smart;busy;skilled;young;old;creative;good;careful;strong;quick
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,farmer,hard-working;strong;old;young;busy;good;simple;kind;patient;clean
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,lawyer,smart;busy;good;young;old;careful;strong;helpful;quick;firm
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,musician,talented;good;young;old;creative;busy;happy;skilled;quiet;famous
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,scientist,smart;busy;skilled;young;old;creative;careful;good;patient;curious
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,soldier,strong;brave;young;good;trained;busy;firm;quick;loyal;tough
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,teacher,good;kind;young;old;patient;busy;helpful;smart;creative;firm
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,writer,creative;good;young;old;busy;talented;quiet;smart;patient;famous
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,book,old;new;big;small;interesting;good;thick;thin;colorful;simple
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,bridge,big;old;new;strong;high;long;metal;simple;safe;wide
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,drums,big;small;loud;old;new;wooden;simple;colorful;heavy;round
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,earth,big;green;old;round;beautiful;dry;wet;hard;soft;warm
grok-3-mini,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,flute,small;long;wooden;simple;old;new;light;clear;sweet;shiny
