Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,anger,strong;hot;blind;deep;sudden;intense;raw;great;furious;bitter
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,courage,brave;strong;great;true;bold;fearless;heroic;steady;quiet;personal
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,fear,big;dark;sudden;cold;deep;real;strong;quick;hidden;bad
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,freedom,great;true;full;new;personal;strong;open;real;simple;clear
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,happiness,great;true;full;pure;simple;real;deep;warm;bright;strong
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,hate,strong;deep;blind;bitter;cold;dark;pure;quick;real;great
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,honesty,true;simple;real;full;strong;clear;pure;open;direct;good
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,justice,fair;true;strong;real;full;clear;simple;good;blind;pure
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,knowledge,great;deep;wide;true;simple;real;full;strong;clear;new
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,love,great;true;deep;pure;strong;warm;real;simple;blind;full
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,peace,quiet;true;full;real;strong;warm;simple;deep;good;pure
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Abstract Concepts,wisdom,great;deep;true;simple;real;strong;clear;old;pure;full
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;clear;metal;round;shiny;broken
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Cultural Artifacts,candle,small;big;old;new;bright;warm;white;red;simple;broken
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;soft;colorful;warm;dirty;clean;thick
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Cultural Artifacts,coin,small;old;new;shiny;gold;silver;round;heavy;rare;dirty
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Cultural Artifacts,crown,big;old;new;gold;shiny;heavy;royal;beautiful;simple;broken
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;colorful;national;red;blue;white;torn
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Cultural Artifacts,mask,small;big;old;new;black;white;scary;funny;simple;broken
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Cultural Artifacts,necklace,small;big;old;new;shiny;gold;silver;beautiful;simple;broken
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;beautiful;colorful;dark;bright;simple;famous
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Cultural Artifacts,ring,small;big;old;new;shiny;gold;silver;beautiful;simple;broken
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;stone;metal;tall;beautiful;broken;famous
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;beautiful;broken;glass;ceramic;simple;colorful
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Environmental Phenomena,cloud,big;small;white;dark;high;low;soft;fluffy;fast;cold
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Environmental Phenomena,earthquake,strong;big;sudden;dangerous;deep;real;bad;quick;rare;violent
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Environmental Phenomena,fog,thick;white;cold;heavy;low;wet;dark;quiet;early;bad
grok-3-mini,think-in-native,0.0,DE # German,B1,most frequent,Environmental Phenomena,lightning,bright;fast;strong;dangerous;sudden;white;hot;rare;wild;big
