Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Abstract Concepts,anger,strong;big;bad;quick;deep;hot;sudden;fierce;raw;blind
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Abstract Concepts,courage,brave;strong;great;quiet;true;big;fast;good;pure;fresh
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Abstract Concepts,fear,big;dark;strong;sudden;cold;deep;quick;bad;real;old
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Abstract Concepts,freedom,great;true;big;new;full;strong;pure;fast;good;fresh
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Abstract Concepts,happiness,big;real;full;sweet;warm;bright;good;quick;deep;pure
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Abstract Concepts,hate,strong;deep;cold;bad;blind;quick;dark;pure;great;wild
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Abstract Concepts,honesty,true;good;pure;simple;strong;clear;big;fresh;real;bright
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Abstract Concepts,justice,fair;strong;true;good;big;clear;pure;quick;deep;simple
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Abstract Concepts,knowledge,great;deep;wide;good;strong;clear;new;pure;real;simple
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Abstract Concepts,love,strong;deep;pure;true;big;sweet;warm;good;fresh;real
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Abstract Concepts,peace,quiet;good;strong;deep;pure;simple;warm;big;clear;fresh
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Abstract Concepts,wisdom,great;deep;old;true;good;clear;strong;pure;real;simple
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,bell,big;old;loud;small;bright;new;clear;sweet;cold;good
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,candle,small;bright;warm;old;new;big;sweet;clear;pure;good
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,carpet,big;old;soft;new;warm;good;bright;clean;fresh;dark
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,coin,old;small;new;bright;good;big;cold;hard;real;pure
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,crown,big;old;gold;new;bright;strong;good;royal;pure;fresh
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,flag,big;old;new;bright;strong;good;clean;fresh;pure;simple
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,mask,old;new;dark;big;strange;good;bright;small;hard;pure
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,necklace,old;new;bright;big;good;small;pure;warm;real;simple
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,painting,old;new;big;bright;good;small;dark;beautiful;pure;fresh
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,ring,old;new;big;small;bright;good;pure;hard;warm;real
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,statue,big;old;new;strong;good;dark;pure;real;cold;simple
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Cultural Artifacts,vase,big;old;new;beautiful;good;small;pure;bright;simple;fresh
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,cloud,big;white;dark;high;soft;good;fast;cold;pure;simple
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,earthquake,strong;big;sudden;bad;deep;fast;dark;pure;real;wild
grok-3-mini,think-in-native,1.0,IT # Italian,B1,most frequent,Environmental Phenomena,fog,thick;cold;dark;heavy;quiet;bad;pure;simple;fresh;soft
