Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Abstract Concepts,anger,hot;strong;sudden;bad;big;quick;deep;wild;blind;raw
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Abstract Concepts,courage,brave;strong;great;true;big;quiet;simple;clear;fast;full
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Abstract Concepts,fear,big;dark;strong;sudden;cold;deep;real;bad;hidden;quick
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Abstract Concepts,freedom,full;great;real;new;big;true;simple;open;strong;clear
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Abstract Concepts,happiness,big;true;warm;full;simple;bright;good;quick;deep;pure
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Abstract Concepts,hate,strong;deep;bad;blind;big;cold;quick;wild;dark;real
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Abstract Concepts,honesty,true;simple;full;clear;good;strong;big;pure;direct;open
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Abstract Concepts,justice,fair;strong;true;big;clear;quick;pure;full;simple;blind
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Abstract Concepts,knowledge,great;deep;big;true;wide;simple;full;clear;good;new
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Abstract Concepts,love,true;deep;strong;big;pure;warm;simple;full;blind;sweet
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Abstract Concepts,peace,full;quiet;true;big;warm;simple;clear;deep;good;strong
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Abstract Concepts,wisdom,great;deep;true;big;simple;old;clear;full;good;wise
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Cultural Artifacts,bell,old;big;loud;small;shiny;broken;gold;round;metal;simple
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Cultural Artifacts,candle,small;bright;white;tall;old;warm;red;broken;simple;soft
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Cultural Artifacts,carpet,big;soft;old;colorful;clean;thick;red;dirty;new;warm
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Cultural Artifacts,coin,small;old;shiny;gold;round;dirty;rare;metal;heavy;new
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Cultural Artifacts,crown,big;gold;old;shiny;royal;heavy;simple;broken;red;tall
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Cultural Artifacts,flag,big;colorful;old;national;red;blue;torn;new;simple;high
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Cultural Artifacts,mask,black;old;scary;simple;broken;small;funny;plastic;white;big
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Cultural Artifacts,necklace,gold;shiny;small;old;beautiful;broken;simple;long;red;cheap
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Cultural Artifacts,painting,old;big;colorful;beautiful;simple;broken;new;dark;famous;small
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Cultural Artifacts,ring,gold;small;shiny;old;broken;simple;big;cheap;red;round
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Cultural Artifacts,statue,big;old;stone;tall;broken;famous;simple;new;metal;white
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Cultural Artifacts,vase,old;big;broken;simple;colorful;glass;small;tall;cheap;red
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Environmental Phenomena,cloud,white;big;dark;soft;high;light;gray;fast;low;cold
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Environmental Phenomena,earthquake,strong;big;sudden;bad;deep;fast;wild;real;long;dangerous
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Environmental Phenomena,fog,thick;gray;cold;heavy;dark;wet;low;soft;quiet;bad
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Environmental Phenomena,lightning,bright;fast;wild;strong;hot;sudden;big;dangerous;clear;red
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Environmental Phenomena,rain,heavy;cold;wet;strong;light;fast;gray;long;soft;bad
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Environmental Phenomena,rainbow,beautiful;colorful;bright;big;clear;simple;high;wet;full;rare
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;light;wet;fresh;big;quiet;pure
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Environmental Phenomena,storm,strong;wild;big;dark;fast;loud;cold;dangerous;long;wet
grok-3-mini,think-in-native,1.0,LV # Latvian,B1,most frequent,Environmental Phenomena,thunder,loud;strong;sudden;big;deep;scary;fast;dark;long;wild
