Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,anger,angry;strong;hot;deep;sudden;bad;great;old;quick;intense
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,courage,brave;big;strong;true;quiet;fast;clear;new;simple;full
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,fear,scary;big;dark;strong;sudden;cold;deep;quick;bad;real
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,freedom,free;big;true;open;new;strong;clear;simple;full;good
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,happiness,happy;big;bright;warm;full;new;simple;sweet;good;real
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,hate,bad;strong;deep;cold;quick;dark;old;great;intense;false
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,honesty,true;good;clear;simple;full;real;strong;quiet;new;fair
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,justice,fair;true;strong;clear;good;full;real;quiet;new;right
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,knowledge,big;true;clear;good;full;real;strong;new;simple;deep
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,love,sweet;strong;deep;warm;true;good;full;real;quiet;bright
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,peace,quiet;good;full;real;warm;true;clear;simple;new;soft
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Abstract Concepts,wisdom,wise;big;true;clear;good;full;real;strong;quiet;deep
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,bell,big;small;old;new;loud;soft;round;shiny;metal;broken
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,candle,small;big;old;new;bright;warm;round;soft;white;broken
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,carpet,big;small;old;new;soft;warm;colorful;clean;dirty;thick
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,coin,small;big;old;new;round;shiny;metal;heavy;light;valuable
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,crown,big;old;new;shiny;gold;heavy;royal;strong;beautiful;special
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,flag,big;small;old;new;colorful;clean;dirty;national;red;blue
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,mask,small;big;old;new;colorful;clean;dirty;plastic;funny;scary
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,necklace,small;big;old;new;shiny;gold;silver;beautiful;long;short
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,painting,big;small;old;new;colorful;beautiful;clean;dirty;famous;simple
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,ring,small;big;old;new;shiny;gold;silver;beautiful;round;heavy
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,statue,big;small;old;new;stone;metal;tall;strong;beautiful;broken
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;glass;ceramic;beautiful;colorful;broken;clean
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,cloud,big;small;white;gray;soft;high;low;fast;slow;dark
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,earthquake,strong;big;sudden;bad;deep;long;scary;real;new;old
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,fog,thick;white;gray;cold;wet;heavy;light;quiet;dark;low
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,lightning,bright;fast;strong;scary;sudden;hot;white;long;high;real
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;wet;long;short;hard;soft;gray;dark
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,rainbow,colorful;bright;beautiful;high;long;wide;real;magic;clear;full
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;light;deep;fresh;old;wet;dry
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,storm,strong;big;dark;scary;loud;fast;wet;cold;long;short
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,thunder,loud;strong;scary;deep;sudden;long;short;dark;real;big
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;slow;wet;cold;big;small;daily
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,volcano,big;active;old;hot;dangerous;tall;deep;real;black;red
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,wind,strong;light;cold;hot;fast;slow;noisy;quiet;dry;wet
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Food Items,apple,red;green;big;small;sweet;sour;fresh;old;round;juicy
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Food Items,banana,yellow;big;small;sweet;fresh;old;long;curved;soft;ripe
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Food Items,beef,red;fresh;old;big;small;cooked;raw;tender;tough;tasty
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Food Items,bread,white;brown;fresh;old;big;small;soft;hard;tasty;warm
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Food Items,broccoli,green;fresh;old;big;small;healthy;crunchy;soft;raw;cooked
grok-3-mini,think-in-native,1.0,SQ # Albanian,B1,most frequent,Food Items,cheese,yellow;white;fresh;old;big;small;soft;hard;tasty;creamy
