Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,anger,strong;hot;blind;deep;sudden;big;bad;quick;real;old
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,courage,brave;great;strong;true;big;good;fast;smart;clear;new
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,fear,big;dark;sudden;cold;real;strong;quick;deep;bad;old
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,freedom,great;full;true;big;new;strong;good;fast;clear;fresh
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,happiness,great;big;true;warm;new;good;bright;strong;quick;real
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,hate,strong;deep;blind;cold;bad;quick;big;real;dark;old
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,honesty,true;full;good;clear;strong;real;big;quick;warm;fresh
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,justice,fair;true;strong;good;big;quick;clear;real;warm;new
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,knowledge,great;deep;wide;strong;true;big;good;quick;real;new
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,love,true;deep;strong;big;warm;good;quick;real;fresh;sweet
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,peace,quiet;full;good;strong;big;warm;true;quick;real;new
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Abstract Concepts,wisdom,great;old;deep;strong;true;big;good;clear;quick;real
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,bell,big;small;old;loud;clear;metal;round;shiny;fast;new
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,candle,small;long;bright;warm;new;old;soft;round;red;white
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,carpet,big;soft;old;new;colorful;warm;clean;dirty;thick;thin
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,coin,small;old;shiny;gold;round;heavy;new;clean;dirty;rare
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,crown,big;gold;shiny;old;new;heavy;royal;bright;round;real
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,flag,big;colorful;old;new;national;red;blue;high;clean;windy
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,mask,small;black;funny;old;new;scary;simple;tight;clean;dirty
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,necklace,beautiful;small;gold;shiny;old;new;long;simple;colorful;real
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,painting,beautiful;big;old;new;colorful;bright;simple;dark;clean;real
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,ring,small;gold;shiny;old;new;round;simple;heavy;clean;real
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,statue,big;old;stone;tall;strong;new;beautiful;simple;clean;real
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Cultural Artifacts,vase,big;small;old;new;colorful;glass;round;beautiful;clean;simple
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,cloud,big;white;soft;high;dark;light;fast;low;wet;cold
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,earthquake,strong;big;sudden;bad;deep;quick;real;old;new;scary
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,fog,thick;cold;wet;grey;heavy;slow;low;quiet;dark;early
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,lightning,bright;fast;strong;sudden;white;scary;quick;high;real;old
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,rain,heavy;cold;wet;strong;quick;light;soft;fresh;dirty;new
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,rainbow,beautiful;colorful;bright;big;high;clear;fresh;rare;quick;real
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;deep;fresh;light;wet;big;quiet;new
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,storm,strong;big;wild;fast;dark;loud;wet;scary;real;old
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,thunder,loud;strong;sudden;deep;scary;quick;big;real;old;white
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,tide,strong;high;fast;big;deep;wet;cold;quiet;real;new
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,volcano,big;hot;active;old;dangerous;high;real;dark;strong;new
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;light;quiet;big;warm;wet;real;new
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Food Items,apple,red;green;fresh;big;small;sweet;juicy;hard;clean;old
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Food Items,banana,yellow;long;fresh;sweet;big;small;soft;clean;ripe;new
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Food Items,beef,fresh;red;big;cooked;hot;tasty;soft;clean;raw;old
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Food Items,bread,fresh;soft;white;big;small;warm;tasty;clean;old;new
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Food Items,broccoli,green;fresh;big;small;tasty;hard;clean;raw;cooked;old
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Food Items,cheese,yellow;soft;tasty;fresh;big;small;hard;clean;old;new
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Food Items,chicken,fresh;white;big;small;cooked;tasty;soft;clean;raw;old
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Food Items,egg,fresh;white;big;small;hard;soft;clean;raw;cooked;new
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Food Items,fish,fresh;big;small;silver;tasty;clean;raw;cooked;old;new
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Food Items,pasta,hot;tasty;soft;fresh;big;small;yellow;clean;cooked;new
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Food Items,rice,white;fresh;cooked;hot;soft;big;small;clean;tasty;new
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Food Items,soup,hot;tasty;fresh;thick;warm;big;small;clear;clean;new
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Human Roles,artist,creative;talented;young;old;good;famous;busy;skilled;new;real
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Human Roles,athlete,strong;fast;young;good;fit;famous;busy;skilled;big;real
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Human Roles,chef,good;busy;talented;young;old;skilled;famous;quick;clean;real
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Human Roles,doctor,good;busy;skilled;young;old;helpful;famous;quick;real;new
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Human Roles,engineer,smart;busy;skilled;young;old;good;helpful;famous;quick;real
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Human Roles,farmer,hard-working;busy;strong;young;old;good;helpful;real;new;smart
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Human Roles,lawyer,smart;busy;good;young;old;helpful;famous;quick;real;new
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Human Roles,musician,talented;good;young;old;famous;busy;skilled;creative;real;new
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Human Roles,scientist,smart;busy;good;young;old;famous;skilled;creative;real;new
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Human Roles,soldier,strong;brave;young;good;busy;skilled;famous;real;new;old
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Human Roles,teacher,good;helpful;young;old;busy;skilled;famous;real;new;smart
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Human Roles,writer,creative;good;young;old;famous;busy;skilled;real;new;smart
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Inanimate Objects,book,old;new;big;small;interesting;thick;thin;colorful;real;good
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Inanimate Objects,bridge,big;old;new;strong;long;high;metal;safe;real;good
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Inanimate Objects,drums,big;loud;old;new;wooden;shiny;fast;real;good;small
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Inanimate Objects,earth,big;green;old;new;round;beautiful;real;good;wet;dry
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Inanimate Objects,flute,small;wooden;old;new;shiny;clear;real;good;long;sweet
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Inanimate Objects,key,small;metal;old;new;shiny;real;good;long;simple;cold
grok-3-mini,think-in-native,1.0,DE # German,B1,most frequent,Inanimate Objects,knife,sharp;small;metal;old;new;shiny;real;good;clean;long
