Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,anger,strong;red;hot;deep;wild;quick;dark;fierce;bitter;sharp
grok-3,basic,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,anger,strong;fierce;burning;deep;hot;sudden;intense;bitter;wild;uncontrolled
grok-3,basic,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,anger,intense;fierce;burning;bitter;violent;deep;sudden;quiet;hidden;raw
grok-3,basic,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,anger,
grok-3,basic,2.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,anger,
grok-3,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,courage,brave;bold;big;great;true;mighty;firm;solid;pure;high
grok-3,basic,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,courage,brave;bold;amazing;fearless;strong;inspiring;true;powerful;great;heroic
grok-3,basic,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,courage,
grok-3,basic,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,courage,
grok-3,basic,2.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,courage,
grok-3,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,fear,
grok-3,basic,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,fear,dark;cold;heavy;terrible;deep;sudden;real;gripping;constant;paralyzing
grok-3,basic,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,fear,
grok-3,basic,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,fear,
grok-3,basic,2.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,fear,
grok-3,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,freedom,
grok-3,basic,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,freedom,
grok-3,basic,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,freedom,
grok-3,basic,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,freedom,
grok-3,basic,2.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,freedom,
grok-3,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,happiness,
grok-3,basic,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,happiness,
grok-3,basic,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,happiness,
grok-3,basic,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,happiness,
grok-3,basic,2.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,happiness,
grok-3,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,hate,
grok-3,basic,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,hate,
grok-3,basic,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,hate,
grok-3,basic,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,hate,
grok-3,basic,2.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,hate,
grok-3,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,honesty,
grok-3,basic,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,honesty,
grok-3,basic,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,honesty,
grok-3,basic,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,honesty,
grok-3,basic,2.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,honesty,
grok-3,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,justice,
grok-3,basic,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,justice,
grok-3,basic,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,justice,
grok-3,basic,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,justice,
grok-3,basic,2.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,justice,
grok-3,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,knowledge,
grok-3,basic,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,knowledge,
grok-3,basic,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,knowledge,
grok-3,basic,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,knowledge,
grok-3,basic,2.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,knowledge,
grok-3,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,love,
grok-3,basic,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,love,
grok-3,basic,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,love,
grok-3,basic,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,love,
grok-3,basic,2.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,love,
grok-3,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,peace,
grok-3,basic,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,peace,
grok-3,basic,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,peace,
grok-3,basic,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,peace,
grok-3,basic,2.0,AR # Arabic,Perfect,most frequent,Abstract Concepts,peace,
grok-3,basic,2.0,AR # Arabic,B1,most frequent,Abstract Concepts,wisdom,
grok-3,basic,2.0,AR # Arabic,B2,most frequent,Abstract Concepts,wisdom,
grok-3,basic,2.0,AR # Arabic,C1,most frequent,Abstract Concepts,wisdom,
grok-3,basic,2.0,AR # Arabic,C2,most frequent,Abstract Concepts,wisdom,
