Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Abstract Concepts,anger,strong;deep;fierce;wild;hot;angry;bitter;quick;sharp;dark
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Abstract Concepts,courage,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Abstract Concepts,fear,deep;great;real;cold;dark;heavy;strong;constant;hidden;sudden
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Abstract Concepts,freedom,true;full;sweet;precious;basic;personal;total;pure;real;happy
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Abstract Concepts,happiness,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Abstract Concepts,hate,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Abstract Concepts,honesty,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Abstract Concepts,justice,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Abstract Concepts,knowledge,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Abstract Concepts,love,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Abstract Concepts,peace,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Abstract Concepts,wisdom,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Cultural Artifacts,bell,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Cultural Artifacts,candle,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Cultural Artifacts,carpet,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Cultural Artifacts,coin,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Cultural Artifacts,crown,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Cultural Artifacts,flag,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Cultural Artifacts,mask,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Cultural Artifacts,necklace,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Cultural Artifacts,painting,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Cultural Artifacts,ring,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Cultural Artifacts,statue,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Cultural Artifacts,vase,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Environmental Phenomena,cloud,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Environmental Phenomena,earthquake,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Environmental Phenomena,fog,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Environmental Phenomena,lightning,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Environmental Phenomena,rain,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Environmental Phenomena,rainbow,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Environmental Phenomena,snow,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Environmental Phenomena,storm,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Environmental Phenomena,thunder,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Environmental Phenomena,tide,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Environmental Phenomena,volcano,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Environmental Phenomena,wind,
grok-3,basic,2.0,ES # Spanish,B1,most frequent,Food Items,apple,
