Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;wild;quick;dark;bitter;fierce;loud;heavy
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,courage,brave;bold;true;great;real;pure;strong;high;firm;bright
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,fear,big;cold;dark;deep;sharp;sudden;quiet;heavy;strange;tight
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,freedom,full;true;sweet;new;wide;clear;bright;strong;pure;happy
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,happiness,warm;bright;pure;deep;true;great;soft;sweet;light;real
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,hate,strong;dark;cold;deep;bitter;hard;fierce;heavy;blind;cruel
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,honesty,true;clear;pure;strong;real;bright;simple;open;fair;good
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,justice,fair;true;strong;clear;right;pure;high;real;firm;honest
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;clear;strong;true;rich;vast;bright
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,love,true;deep;warm;sweet;strong;pure;soft;kind;bright;real
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,peace,calm;quiet;sweet;true;deep;soft;bright;pure;warm;gentle
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Abstract Concepts,wisdom,deep;true;great;clear;strong;old;pure;bright;high;real
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;old;shiny;bright;heavy;golden;sweet;round
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,candle,small;bright;warm;soft;white;long;thin;glowing;quiet;pretty
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,carpet,soft;thick;red;old;big;warm;colorful;heavy;clean;nice
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,coin,old;shiny;small;round;heavy;silver;golden;rare;dirty;cold
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;old;royal;beautiful;big;rich;bright;strong
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,flag,red;white;blue;big;old;proud;bright;high;strong;national
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,mask,black;scary;funny;old;strange;colorful;heavy;dark;small;weird
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,necklace,beautiful;shiny;long;silver;golden;pretty;expensive;light;delicate;bright
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,painting,beautiful;old;colorful;big;famous;bright;dark;pretty;unique;expensive
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,ring,small;shiny;golden;silver;beautiful;expensive;round;bright;pretty;delicate
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,statue,old;big;tall;heavy;stone;beautiful;famous;white;cold;strong
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Cultural Artifacts,vase,beautiful;old;small;delicate;colorful;tall;thin;expensive;pretty;fragile
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,cloud,white;big;soft;dark;heavy;grey;high;fluffy;light;moving
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,earthquake,strong;scary;sudden;dangerous;big;loud;terrible;powerful;deep;destructive
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,fog,thick;cold;grey;heavy;dark;wet;quiet;strange;light;mysterious
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,lightning,bright;fast;loud;scary;strong;white;sharp;dangerous;sudden;powerful
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;wet;soft;strong;dark;quiet;fresh;long
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,rainbow,colorful;bright;beautiful;rare;big;pretty;magical;clear;light;happy
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;light;thick;beautiful;quiet;fresh;pure
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,storm,strong;loud;dark;scary;heavy;wild;dangerous;fast;cold;powerful
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,thunder,loud;deep;scary;strong;sudden;heavy;dark;powerful;sharp;frightening
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,tide,high;low;strong;fast;dangerous;big;cold;wet;powerful;moving
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,volcano,hot;dangerous;big;active;tall;dark;powerful;scary;red;destructive
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;loud;warm;light;sharp;wild;gentle;heavy
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Food Items,apple,red;green;sweet;fresh;small;round;juicy;hard;tasty;ripe
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Food Items,banana,yellow;long;sweet;soft;fresh;ripe;small;tasty;healthy;curved
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Food Items,beef,red;fresh;tasty;tender;juicy;expensive;thick;cooked;soft;strong
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Food Items,bread,fresh;soft;warm;brown;white;tasty;hard;small;round;homemade
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Food Items,broccoli,green;fresh;healthy;small;hard;tasty;raw;cooked;bitter;light
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;tasty;strong;creamy;fresh;old;salty
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Food Items,chicken,white;tender;juicy;tasty;fresh;cooked;small;soft;roasted;grilled
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Food Items,egg,white;small;fresh;hard;soft;round;yellow;tasty;boiled;fragile
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Food Items,fish,fresh;small;big;tasty;silver;raw;cooked;wet;salty;healthy
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Food Items,pasta,yellow;soft;tasty;long;short;fresh;cooked;hot;simple;Italian
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Food Items,rice,white;small;soft;tasty;fresh;cooked;sticky;light;healthy;plain
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Food Items,soup,hot;tasty;warm;thick;light;fresh;salty;creamy;healthy;clear
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Human Roles,artist,creative;talented;famous;young;old;skilled;unique;passionate;clever;inspired
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Human Roles,athlete,strong;fast;young;fit;talented;skilled;tough;active;brave;competitive
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Human Roles,chef,skilled;creative;famous;busy;talented;friendly;experienced;clever;passionate;professional
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Human Roles,doctor,kind;smart;busy;helpful;experienced;friendly;patient;careful;wise;trusted
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Human Roles,engineer,smart;skilled;clever;busy;creative;talented;experienced;technical;innovative;precise
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Human Roles,farmer,hard-working;kind;strong;busy;friendly;simple;patient;tough;honest;dedicated
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Human Roles,lawyer,smart;strict;busy;clever;experienced;strong;fair;confident;professional;serious
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Human Roles,musician,talented;creative;famous;young;passionate;skilled;unique;inspired;emotional;gifted
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Human Roles,scientist,smart;clever;curious;busy;talented;experienced;wise;innovative;careful;dedicated
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Human Roles,soldier,brave;strong;tough;young;loyal;disciplined;serious;fearless;dedicated;proud
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Human Roles,teacher,kind;patient;smart;friendly;helpful;strict;wise;experienced;caring;inspiring
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Human Roles,writer,creative;talented;famous;clever;passionate;unique;inspired;skilled;thoughtful;imaginative
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Inanimate Objects,book,old;thick;new;small;big;interesting;heavy;colorful;famous;useful
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Inanimate Objects,bridge,long;old;strong;high;big;beautiful;narrow;wooden;modern;famous
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Inanimate Objects,drums,loud;big;heavy;round;strong;noisy;colorful;wooden;powerful;rhythmic
grok-3,think-in-native,0.0,SQ # Albanian,B1,most frequent,Inanimate Objects,earth,big;round;green;blue;beautiful;old;vast;rich;warm;alive
