Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;quick;wild;bitter;fierce;dark;heavy;sudden
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,courage,great;bold;true;brave;big;pure;real;high;strong;fearless
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,fear,cold;deep;sharp;dark;big;sudden;heavy;quiet;strong;hidden
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,freedom,true;full;sweet;new;great;pure;wide;bright;happy;strong
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,happiness,warm;bright;big;pure;true;sweet;deep;light;real;joyful
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,hate,strong;deep;dark;bitter;cold;fierce;heavy;sharp;wild;angry
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,honesty,true;clear;pure;strong;real;good;bright;open;fair;simple
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,justice,fair;strong;true;clear;right;pure;good;high;real;honest
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;clear;strong;true;big;important;good
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,love,true;deep;warm;sweet;strong;pure;real;bright;soft;kind
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,peace,calm;quiet;sweet;true;deep;pure;soft;bright;warm;gentle
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Abstract Concepts,wisdom,deep;great;true;clear;strong;old;pure;high;good;real
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;shiny;old;heavy;bright;golden;sweet;round
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,candle,small;bright;warm;soft;white;long;thin;glowing;quiet;simple
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,carpet,soft;thick;colorful;warm;big;old;clean;heavy;beautiful;smooth
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,coin,small;shiny;old;round;heavy;silver;golden;dirty;rare;cold
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;beautiful;old;royal;big;bright;rich;grand
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,flag,colorful;big;bright;high;proud;old;torn;strong;national;waving
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,mask,scary;funny;colorful;old;strange;dark;heavy;wooden;hidden;big
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,necklace,beautiful;shiny;long;golden;silver;heavy;expensive;old;delicate;bright
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,painting,beautiful;old;colorful;big;famous;bright;dark;small;lovely;unique
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,ring,small;shiny;golden;silver;beautiful;expensive;old;round;bright;simple
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,statue,tall;old;heavy;beautiful;stone;big;famous;cold;grand;silent
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Cultural Artifacts,vase,beautiful;old;delicate;small;colorful;tall;thin;expensive;broken;lovely
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,cloud,white;big;soft;dark;heavy;high;fluffy;grey;moving;thick
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,earthquake,strong;scary;sudden;dangerous;powerful;loud;deep;terrible;wild;destructive
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,fog,thick;cold;white;heavy;dark;quiet;wet;mysterious;soft;grey
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,lightning,bright;fast;loud;dangerous;sharp;white;hot;sudden;powerful;scary
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,rain,heavy;cold;soft;light;wet;strong;dark;quiet;fresh;long
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,rainbow,colorful;beautiful;bright;rare;big;lovely;magical;high;clear;happy
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;thick;beautiful;quiet;light;wet;pure
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,storm,strong;loud;dark;dangerous;wild;heavy;scary;fast;cold;powerful
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,thunder,loud;deep;scary;strong;sudden;heavy;dark;powerful;wild;angry
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,tide,high;strong;low;fast;dangerous;cold;wet;powerful;moving;big
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,volcano,hot;dangerous;big;active;tall;dark;powerful;scary;red;old
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;loud;soft;warm;wild;sharp;gentle;heavy
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,apple,red;sweet;fresh;round;small;juicy;green;hard;tasty;ripe
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,banana,yellow;sweet;long;soft;fresh;ripe;tasty;small;curved;healthy
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,beef,red;fresh;tasty;tough;soft;cooked;raw;expensive;thick;juicy
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,bread,soft;fresh;warm;brown;white;tasty;hard;small;round;old
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,broccoli,green;fresh;healthy;small;hard;tasty;raw;cooked;bitter;thick
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,cheese,yellow;soft;hard;tasty;white;strong;creamy;old;fresh;expensive
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,chicken,tasty;soft;fresh;cooked;white;small;juicy;roasted;raw;tender
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,egg,small;white;fresh;hard;soft;round;tasty;broken;yellow;boiled
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,fish,fresh;tasty;small;big;silver;raw;cooked;wet;cold;slippery
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,pasta,soft;tasty;long;yellow;cooked;hot;fresh;simple;thick;Italian
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,rice,white;soft;tasty;small;cooked;hot;fresh;sticky;plain;healthy
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Food Items,soup,hot;tasty;warm;thick;thin;fresh;salty;creamy;light;healthy
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,artist,creative;talented;famous;young;old;poor;rich;clever;unique;passionate
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,athlete,strong;fast;young;fit;tall;powerful;skilled;active;brave;healthy
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,chef,skilled;creative;busy;famous;friendly;old;young;talented;careful;passionate
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,doctor,kind;smart;busy;helpful;old;young;friendly;careful;wise;patient
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,engineer,smart;skilled;clever;busy;young;creative;careful;talented;hard-working;innovative
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,farmer,hard-working;kind;old;strong;poor;friendly;busy;simple;patient;tough
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,lawyer,smart;busy;rich;clever;strict;young;old;helpful;strong;serious
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,musician,talented;creative;famous;young;passionate;skilled;loud;unique;happy;artistic
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,scientist,smart;clever;curious;busy;old;young;wise;careful;innovative;serious
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,soldier,brave;strong;young;tough;loyal;tall;serious;fearless;disciplined;proud
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,teacher,kind;patient;smart;friendly;strict;old;young;helpful;wise;caring
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Human Roles,writer,creative;talented;famous;quiet;young;old;clever;passionate;unique;thoughtful
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,book,old;thick;new;small;big;interesting;heavy;colorful;boring;useful
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,bridge,long;high;old;strong;big;narrow;beautiful;wooden;broken;modern
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,drums,loud;big;heavy;old;round;colorful;strong;wooden;noisy;traditional
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,earth,big;round;green;blue;old;beautiful;wide;rich;warm;alive
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,flute,small;long;wooden;shiny;old;sweet;light;thin;beautiful;delicate
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,key,small;shiny;old;heavy;silver;golden;rusty;important;cold;useful
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,knife,sharp;small;heavy;shiny;dangerous;old;rusty;long;useful;cold
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,lock,heavy;old;strong;small;rusty;shiny;broken;tight;useful;secure
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,moon,bright;round;white;big;beautiful;high;pale;quiet;magical;cold
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,pen,small;black;blue;shiny;old;cheap;useful;thin;broken;light
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,sun,bright;hot;big;yellow;high;warm;beautiful;strong;golden;powerful
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Inanimate Objects,sword,sharp;heavy;long;old;shiny;dangerous;strong;silver;rusty;powerful
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,cat,small;soft;cute;black;white;lazy;fast;quiet;friendly;wild
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,dog,big;friendly;loyal;brown;loud;fast;strong;cute;happy;protective
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,dolphin,smart;friendly;fast;blue;big;playful;smooth;beautiful;wild;happy
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,elephant,big;strong;grey;tall;heavy;slow;kind;old;wild;powerful
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,hamster,small;cute;soft;brown;fast;tiny;quiet;fluffy;active;shy
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,monkey,funny;fast;small;brown;clever;loud;wild;active;naughty;playful
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,mouse,small;grey;fast;tiny;quiet;shy;cute;sneaky;soft;quick
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,peacock,beautiful;colorful;big;proud;loud;rare;bright;lovely;tall;unique
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,rabbit,small;white;soft;fast;cute;shy;fluffy;quiet;quick;gentle
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,shark,big;dangerous;fast;grey;scary;strong;wild;sharp;cold;powerful
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,snake,long;dangerous;green;scary;fast;thin;cold;wild;quiet;slippery
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Neutral Animals,whale,big;blue;heavy;slow;strong;beautiful;deep;wild;huge;gentle
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,city,big;busy;loud;modern;old;crowded;bright;dirty;beautiful;noisy
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,desert,hot;dry;big;empty;sandy;quiet;dangerous;wide;yellow;harsh
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,forest,green;big;dark;thick;quiet;wild;deep;beautiful;old;mysterious
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,island,small;beautiful;quiet;green;remote;hot;sandy;blue;lovely;isolated
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,lake,blue;calm;big;deep;clear;cold;quiet;beautiful;wide;still
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,mountain,tall;high;big;cold;rocky;beautiful;strong;steep;old;snowy
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,ocean,big;blue;deep;wide;cold;wild;beautiful;dangerous;salty;powerful
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,plain,wide;flat;green;big;empty;quiet;open;dry;simple;vast
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,plateau,high;flat;wide;dry;big;rocky;cold;open;quiet;empty
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,river,long;blue;deep;wide;fast;clear;cold;beautiful;quiet;winding
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,valley,green;deep;wide;beautiful;quiet;long;narrow;fertile;cool;hidden
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Places,village,small;quiet;old;friendly;simple;green;poor;beautiful;peaceful;remote
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,cactus,green;sharp;tall;dry;small;tough;spiky;hard;strange;desert
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,eggplant,purple;long;soft;fresh;tasty;small;shiny;healthy;cooked;bitter
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,flower,beautiful;colorful;small;bright;sweet;soft;fresh;lovely;delicate;fragrant
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,grass,green;soft;thick;short;long;wet;fresh;dry;tall;smooth
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,lettuce,green;fresh;soft;light;healthy;crispy;small;raw;cool;tasty
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,mushroom,small;brown;soft;tasty;white;strange;wet;round;wild;edible
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,onion,white;strong;small;round;sharp;fresh;raw;tasty;yellow;spicy
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,pepper,red;hot;small;green;spicy;fresh;tasty;sharp;colorful;strong
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,potato,brown;hard;small;tasty;fresh;round;cooked;soft;cheap;healthy
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,rose,red;beautiful;soft;fragrant;small;lovely;delicate;bright;thorny;romantic
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,tomato,red;juicy;fresh;small;round;tasty;soft;ripe;healthy;sweet
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Plants,tree,tall;green;old;big;strong;thick;beautiful;shady;wide;leafy
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,ally,loyal;helpful;kind;true;strong;friendly;close;good;reliable;supportive
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,brother,kind;strong;young;old;funny;helpful;close;tall;caring;protective
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,enemy,dangerous;strong;bad;angry;cold;cruel;dark;fierce;hateful;tricky
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,father,kind;strong;old;wise;tall;caring;strict;loving;helpful;protective
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,follower,loyal;young;quiet;helpful;true;eager;obedient;supportive;shy;dedicated
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,friend,kind;funny;close;loyal;helpful;good;happy;true;caring;sweet
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,leader,strong;wise;brave;tall;smart;kind;strict;powerful;confident;respected
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,mother,kind;loving;caring;warm;strong;gentle;sweet;helpful;patient;wise
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,partner,loyal;kind;helpful;close;strong;funny;caring;true;supportive;loving
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,rival,strong;tough;smart;angry;competitive;dangerous;fast;clever;fierce;challenging
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,sister,kind;funny;young;sweet;helpful;close;caring;loving;pretty;supportive
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Social Relationships,stranger,unknown;quiet;tall;strange;cold;shy;dark;mysterious;distant;new
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Spatial Concepts,above,high;clear;bright;far;open;wide;blue;empty;distant;tall
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Spatial Concepts,back,strong;wide;straight;sore;heavy;broad;flat;hidden;tired;long
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Spatial Concepts,below,low;deep;dark;cold;hidden;quiet;close;small;wet;silent
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Spatial Concepts,east,far;warm;bright;distant;open;new;beautiful;quiet;sunny;ancient
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Spatial Concepts,front,clear;open;wide;straight;close;bright;big;clean;visible;forward
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Spatial Concepts,inside,warm;dark;quiet;small;hidden;safe;cozy;tight;deep;secret
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Spatial Concepts,left,close;near;small;hidden;quiet;dark;narrow;low;side;forgotten
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Spatial Concepts,north,cold;far;high;dark;distant;quiet;snowy;wild;strong;remote
grok-3,think-in-native,0.0,SW # Swahili,B1,most frequent,Spatial Concepts,outside,cold;open;wide;bright;big;noisy;fresh;free;wild;clear
