Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,think-in-native,1.0,PL # Polish,B1,most frequent,Abstract Concepts,anger,strong;deep;red;hot;wild;bitter;dark;sudden;fierce;heavy
grok-3,think-in-native,1.0,PL # Polish,B1,most frequent,Abstract Concepts,courage,brave;bold;big;true;great;pure;quiet;real;inner;high
grok-3,think-in-native,1.0,PL # Polish,B1,most frequent,Abstract Concepts,fear,cold;deep;dark;silent;hidden;strong;sharp;quick;strange;heavy
grok-3,think-in-native,1.0,PL # Polish,B1,most frequent,Abstract Concepts,freedom,full;true;sweet;new;personal;open;bright;hard;long;precious
grok-3,think-in-native,1.0,PL # Polish,B1,most frequent,Abstract Concepts,happiness,warm;pure;simple;bright;big;true;quiet;soft;deep;real
grok-3,think-in-native,1.0,PL # Polish,B1,most frequent,Abstract Concepts,hate,strong;dark;bitter;deep;cold;hard;blind;heavy;sharp;old
grok-3,think-in-native,1.0,PL # Polish,B1,most frequent,Abstract Concepts,honesty,pure;true;clear;simple;real;strong;open;full;bright;good
grok-3,think-in-native,1.0,PL # Polish,B1,most frequent,Abstract Concepts,justice,fair;true;strong;clear;hard;equal;pure;right;strict;real
grok-3,think-in-native,1.0,PL # Polish,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;basic;new;old;hidden;clear;vast
grok-3,think-in-native,1.0,PL # Polish,B1,most frequent,Abstract Concepts,love,warm;deep;true;sweet;strong;pure;soft;real;bright;endless
grok-3,think-in-native,1.0,PL # Polish,B1,most frequent,Abstract Concepts,peace,quiet;calm;deep;true;sweet;full;soft;warm;long;gentle
grok-3,think-in-native,1.0,PL # Polish,B1,most frequent,Abstract Concepts,wisdom,deep;old;true;great;quiet;clear;strong;simple;pure;high
grok-3,think-in-native,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;old;shiny;golden;heavy;bright;sweet;round
grok-3,think-in-native,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,candle,small;warm;bright;soft;white;long;thin;old;red;glowing
grok-3,think-in-native,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,carpet,soft;thick;red;old;big;warm;heavy;colorful;clean;dirty
grok-3,think-in-native,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,coin,old;shiny;small;round;silver;gold;heavy;rare;dirty;new
grok-3,think-in-native,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;old;royal;big;beautiful;rich;precious;tall
grok-3,think-in-native,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,flag,red;white;big;old;national;bright;torn;high;proud;colorful
grok-3,think-in-native,1.0,PL # Polish,B1,most frequent,Cultural Artifacts,mask,dark;scary;old;funny;black;white;strange;heavy;small;hidden
