Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,think-in-native,1.0,RU # Russian,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;quick;wild;dark;bitter;fierce;heavy;dangerous
grok-3,think-in-native,1.0,RU # Russian,B1,most frequent,Abstract Concepts,courage,great;true;bold;brave;real;powerful;amazing;pure;inner;fearless
grok-3,think-in-native,1.0,RU # Russian,B1,most frequent,Abstract Concepts,fear,big;cold;sudden;terrible;hidden;awful;sharp;constant;strange;silent
grok-3,think-in-native,1.0,RU # Russian,B1,most frequent,Abstract Concepts,freedom,full;sweet;hard;new;personal;total;bright;precious;long;open
grok-3,think-in-native,1.0,RU # Russian,B1,most frequent,Abstract Concepts,happiness,pure;warm;endless;simple;true;bright;big;quiet;real;deep
grok-3,think-in-native,1.0,RU # Russian,B1,most frequent,Abstract Concepts,hate,strong;dark;bitter;cold;hidden;fierce;deep;wild;angry;cruel
grok-3,think-in-native,1.0,RU # Russian,B1,most frequent,Abstract Concepts,honesty,complete;true;clear;simple;real;pure;open;strong;fair;direct
grok-3,think-in-native,1.0,RU # Russian,B1,most frequent,Abstract Concepts,justice,fair;true;strict;equal;right;pure;hard;real;clear;honest
grok-3,think-in-native,1.0,RU # Russian,B1,most frequent,Abstract Concepts,knowledge,deep;wide;useful;great;new;important;rich;basic;old;powerful
grok-3,think-in-native,1.0,RU # Russian,B1,most frequent,Abstract Concepts,love,true;warm;sweet;deep;strong;pure;endless;gentle;real;kind
grok-3,think-in-native,1.0,RU # Russian,B1,most frequent,Abstract Concepts,peace,quiet;calm;true;full;sweet;lasting;inner;deep;soft;pure
grok-3,think-in-native,1.0,RU # Russian,B1,most frequent,Abstract Concepts,wisdom,great;deep;old;true;clear;quiet;strong;real;ancient;powerful
grok-3,think-in-native,1.0,RU # Russian,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;golden;old;shiny;heavy;bright;silver;beautiful
grok-3,think-in-native,1.0,RU # Russian,B1,most frequent,Cultural Artifacts,candle,small;bright;warm;soft;white;long;burning;red;yellow;quiet
grok-3,think-in-native,1.0,RU # Russian,B1,most frequent,Cultural Artifacts,carpet,soft;red;thick;old;big;colorful;warm;expensive;beautiful;clean
grok-3,think-in-native,1.0,RU # Russian,B1,most frequent,Cultural Artifacts,coin,old;shiny;small;golden;silver;rare;heavy;round;dirty;valuable
grok-3,think-in-native,1.0,RU # Russian,B1,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;royal;old;beautiful;expensive;big;silver;grand
grok-3,think-in-native,1.0,RU # Russian,B1,most frequent,Cultural Artifacts,flag,national;colorful;big;old;red;white;blue;bright;proud;waving
grok-3,think-in-native,1.0,RU # Russian,B1,most frequent,Cultural Artifacts,mask,scary;black;strange;old;funny;white;wooden;dark;mysterious;small
