Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,anger,strong;deep;intense;burning;sudden;hot;wild;bitter;fierce;uncontrollable
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,courage,great;brave;bold;amazing;true;powerful;incredible;fearless;strong;heroic
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,fear,dark;real;cold;terrible;hidden;deep;sudden;strong;awful;overwhelming
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,freedom,complete;true;sweet;precious;total;beautiful;important;new;hard;pure
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,happiness,pure;real;warm;big;bright;endless;simple;sweet;genuine;joyful
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,hate,strong;deep;bitter;dark;cold;fierce;blind;intense;cruel;endless
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,honesty,true;pure;clear;real;strong;simple;open;genuine;complete;fair
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,justice,fair;true;equal;strong;right;clear;important;honest;pure;necessary
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;important;new;basic;clear;rich;powerful
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,love,true;deep;warm;sweet;pure;strong;endless;beautiful;real;passionate
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,peace,calm;quiet;sweet;deep;true;lasting;beautiful;inner;gentle;perfect
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,wisdom,deep;great;true;old;clear;powerful;quiet;strong;real;ancient
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;golden;old;shiny;heavy;beautiful;silver;bright
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,candle,bright;small;warm;soft;white;glowing;long;beautiful;red;scented
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,carpet,soft;colorful;thick;old;beautiful;expensive;large;red;patterned;warm
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,coin,old;shiny;small;silver;golden;rare;heavy;round;valuable;ancient
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,crown,golden;heavy;royal;beautiful;shiny;old;expensive;grand;jeweled;powerful
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,flag,national;colorful;proud;high;big;red;white;old;waving;bright
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,mask,scary;funny;black;colorful;strange;old;wooden;beautiful;mysterious;white
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,necklace,beautiful;shiny;long;silver;golden;expensive;elegant;simple;delicate;colorful
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,painting,beautiful;old;colorful;famous;large;amazing;expensive;detailed;unique;classic
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,ring,golden;silver;shiny;small;beautiful;expensive;simple;elegant;round;precious
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,statue,tall;old;stone;beautiful;famous;grand;heavy;ancient;white;impressive
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Cultural Artifacts,vase,delicate;old;beautiful;tall;glass;colorful;expensive;ceramic;small;elegant
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,cloud,white;fluffy;dark;big;gray;soft;high;heavy;thick;moving
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,earthquake,strong;terrible;sudden;dangerous;powerful;scary;destructive;big;violent;awful
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,fog,thick;white;cold;heavy;mysterious;dark;gray;wet;dense;early
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,lightning,bright;fast;dangerous;loud;scary;sudden;powerful;white;strong;electric
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,rain,heavy;light;cold;soft;wet;sudden;strong;warm;gentle;endless
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,rainbow,colorful;beautiful;bright;magical;rare;amazing;clear;wide;lovely;vivid
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;light;beautiful;thick;wet;fresh;pure
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,storm,strong;dark;loud;dangerous;wild;heavy;scary;sudden;violent;powerful
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,thunder,loud;deep;scary;strong;sudden;powerful;dark;heavy;frightening;booming
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,tide,high;low;strong;dangerous;fast;powerful;wild;sudden;cold;rough
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,volcano,active;dangerous;hot;powerful;huge;scary;red;tall;deadly;ancient
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Environmental Phenomena,wind,strong;cold;warm;fast;light;wild;heavy;soft;cool;gentle
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Food Items,apple,red;green;sweet;fresh;juicy;round;small;crisp;tasty;healthy
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Food Items,banana,yellow;sweet;long;soft;fresh;ripe;healthy;small;tasty;curved
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Food Items,beef,fresh;red;tasty;tender;expensive;cooked;raw;juicy;thick;soft
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Food Items,bread,fresh;soft;warm;white;brown;tasty;crispy;homemade;thick;delicious
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Food Items,broccoli,green;fresh;healthy;small;raw;cooked;tasty;bitter;hard;nutritious
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Food Items,cheese,yellow;white;soft;hard;tasty;creamy;smelly;fresh;melted;salty
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Food Items,chicken,cooked;fresh;tasty;tender;juicy;roasted;grilled;white;soft;delicious
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Food Items,egg,white;brown;small;fresh;boiled;fried;raw;tasty;soft;hard
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Food Items,fish,fresh;tasty;small;big;raw;cooked;silver;salty;white;delicious
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Food Items,pasta,soft;tasty;long;short;yellow;cooked;fresh;hot;simple;delicious
grok-3,think-in-native,1.0,TR # Turkish,B1,most frequent,Food Items,rice,white;soft;tasty;hot;sticky;long;short;fresh;simple;healthy
