Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;quick;wild;dark;heavy;loud;bitter;fierce
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,courage,brave;bold;true;great;amazing;powerful;real;high;pure;fearless
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,fear,big;cold;sharp;sudden;hidden;strong;dark;heavy;quiet;deep
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,freedom,true;full;sweet;new;bright;pure;open;wide;happy;strong
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,happiness,warm;bright;pure;true;sweet;big;light;soft;real;joyful
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,hate,strong;deep;cold;dark;bitter;heavy;sharp;blind;fierce;angry
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,honesty,true;clear;pure;real;simple;strong;bright;good;open;fair
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,justice,fair;true;strong;clear;right;pure;honest;high;deep;good
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,knowledge,deep;wide;great;useful;clear;strong;rich;new;big;important
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,love,true;deep;warm;sweet;strong;pure;soft;bright;real;kind
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,peace,calm;quiet;soft;sweet;true;deep;bright;warm;pure;gentle
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Abstract Concepts,wisdom,deep;great;true;clear;old;strong;high;pure;bright;real
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,bell,loud;clear;small;old;shiny;golden;heavy;bright;sweet;round
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,candle,small;warm;bright;soft;white;tall;thin;old;burning;lovely
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,carpet,soft;thick;red;old;big;warm;clean;heavy;beautiful;colorful
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,coin,small;old;shiny;round;heavy;silver;gold;dirty;rare;cold
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,crown,golden;heavy;shiny;old;royal;beautiful;big;bright;precious;tall
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,flag,bright;colorful;big;high;proud;old;red;white;strong;waving
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,mask,scary;dark;old;strange;black;funny;heavy;wooden;colorful;hidden
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,necklace,shiny;long;silver;beautiful;heavy;gold;old;lovely;thin;precious
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,painting,old;beautiful;colorful;big;famous;dark;bright;small;lovely;expensive
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,ring,small;shiny;gold;silver;beautiful;old;thin;heavy;precious;round
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,statue,tall;old;heavy;white;stone;beautiful;big;famous;cold;grand
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Cultural Artifacts,vase,tall;thin;old;beautiful;white;heavy;glass;colorful;small;lovely
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,cloud,white;big;fluffy;dark;soft;high;grey;light;heavy;moving
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,earthquake,strong;scary;sudden;big;dangerous;loud;deep;wild;terrible;powerful
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,fog,thick;cold;white;heavy;grey;dark;wet;quiet;strange;soft
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,lightning,bright;fast;loud;scary;strong;sharp;dangerous;white;wild;sudden
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,rain,heavy;cold;soft;light;wet;strong;dark;warm;quiet;long
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,rainbow,colorful;bright;beautiful;rare;big;high;lovely;magical;clear;happy
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,snow,white;cold;soft;heavy;light;thick;beautiful;quiet;wet;falling
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,storm,strong;loud;dark;dangerous;heavy;wild;scary;fast;cold;big
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,thunder,loud;deep;scary;strong;sudden;dark;heavy;wild;sharp;powerful
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,tide,high;strong;low;fast;dangerous;wild;cold;deep;moving;big
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,volcano,hot;dangerous;big;active;red;dark;tall;powerful;scary;old
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Environmental Phenomena,wind,strong;cold;fast;loud;wild;soft;warm;sharp;heavy;blowing
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,apple,red;sweet;fresh;small;round;green;juicy;hard;tasty;crisp
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,banana,yellow;sweet;long;soft;fresh;ripe;small;tasty;healthy;curved
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,beef,red;fresh;tough;soft;tasty;thick;cooked;raw;expensive;juicy
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,bread,soft;fresh;warm;white;brown;tasty;hard;thick;small;crispy
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,broccoli,green;fresh;small;healthy;hard;tasty;raw;cooked;thick;bitter
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,cheese,yellow;soft;hard;white;tasty;creamy;strong;old;melted;fresh
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,chicken,white;tasty;soft;cooked;fresh;juicy;small;roasted;fried;tender
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,egg,white;small;fresh;hard;soft;round;yellow;cooked;raw;fragile
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,fish,fresh;small;silver;tasty;raw;cooked;wet;big;slippery;cold
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,pasta,long;soft;tasty;yellow;cooked;fresh;hot;thin;thick;Italian
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,rice,white;soft;small;cooked;tasty;sticky;hot;fresh;plain;healthy
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Food Items,soup,hot;tasty;warm;thick;clear;fresh;light;salty;creamy;healthy
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,artist,creative;talented;famous;young;old;poor;rich;clever;unique;passionate
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,athlete,strong;fast;young;tall;fit;brave;skilled;powerful;active;healthy
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,chef,skilled;creative;famous;busy;kind;fat;tall;old;clever;friendly
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,doctor,kind;smart;busy;helpful;old;young;tall;serious;friendly;patient
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,engineer,smart;clever;busy;young;skilled;creative;tall;serious;hard-working;innovative
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,farmer,hard-working;kind;old;strong;poor;tall;friendly;simple;busy;patient
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,lawyer,smart;serious;busy;rich;tall;clever;strict;helpful;young;confident
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,musician,talented;creative;famous;young;passionate;loud;happy;skilled;unique;friendly
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,scientist,smart;clever;curious;serious;old;young;busy;innovative;patient;brilliant
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,soldier,brave;strong;tall;young;tough;serious;loyal;fearless;proud;disciplined
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,teacher,kind;patient;smart;strict;friendly;helpful;old;young;tall;wise
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Human Roles,writer,creative;clever;quiet;famous;young;old;passionate;talented;unique;thoughtful
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,book,old;thick;small;new;heavy;interesting;boring;colorful;expensive;useful
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,bridge,long;high;old;strong;narrow;wide;beautiful;wooden;stone;famous
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,drums,loud;big;heavy;round;old;shiny;strong;wooden;colorful;noisy
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,earth,big;round;green;blue;old;beautiful;warm;wide;rich;living
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,flute,small;long;shiny;old;wooden;beautiful;silver;thin;sweet;light
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,key,small;old;shiny;heavy;silver;golden;round;cold;important;lost
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,knife,sharp;small;heavy;long;shiny;dangerous;old;silver;useful;cold
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,lock,heavy;old;small;strong;shiny;silver;black;broken;tight;secure
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,moon,bright;round;big;white;beautiful;high;pale;cold;quiet;magical
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,pen,small;black;blue;long;thin;cheap;old;shiny;useful;broken
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,sun,bright;hot;big;yellow;high;warm;golden;beautiful;strong;shining
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Inanimate Objects,sword,sharp;long;heavy;old;shiny;silver;strong;dangerous;beautiful;powerful
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Neutral Animals,cat,small;soft;cute;black;white;furry;lazy;fast;playful;quiet
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Neutral Animals,dog,big;friendly;loyal;brown;black;furry;fast;loud;happy;strong
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Neutral Animals,dolphin,smart;friendly;fast;blue;small;playful;wet;cute;smooth;wild
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Neutral Animals,elephant,big;grey;heavy;tall;strong;slow;kind;old;wild;huge
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Neutral Animals,hamster,small;cute;soft;brown;fluffy;tiny;fast;quiet;playful;shy
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Neutral Animals,monkey,small;funny;fast;brown;clever;loud;playful;wild;naughty;active
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Neutral Animals,mouse,small;grey;fast;tiny;quiet;shy;cute;sneaky;soft;little
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Neutral Animals,peacock,colorful;beautiful;big;proud;loud;rare;tall;shiny;bright;lovely
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Neutral Animals,rabbit,small;white;soft;cute;fast;fluffy;shy;quiet;playful;little
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Neutral Animals,shark,big;dangerous;fast;grey;scary;strong;wild;sharp;cold;hungry
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Neutral Animals,snake,long;dangerous;green;scary;thin;fast;cold;sneaky;wild;quiet
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Neutral Animals,whale,huge;big;blue;heavy;slow;gentle;deep;wild;rare;amazing
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Places,city,big;busy;loud;modern;old;crowded;bright;dirty;tall;noisy
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Places,desert,hot;dry;big;sandy;empty;quiet;yellow;dangerous;wide;harsh
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Places,forest,green;big;dark;quiet;thick;old;wild;deep;beautiful;cool
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Places,island,small;beautiful;quiet;green;remote;hot;blue;sandy;lovely;tropical
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Places,lake,blue;deep;quiet;big;clear;cold;beautiful;calm;wide;still
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Places,mountain,tall;high;big;cold;rocky;white;beautiful;steep;green;strong
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Places,ocean,big;blue;deep;wide;cold;wild;beautiful;salty;dark;vast
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Places,plain,wide;flat;green;big;open;quiet;empty;yellow;dry;vast
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Places,plateau,high;flat;wide;dry;big;rocky;cold;open;quiet;brown
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Places,river,long;blue;deep;wide;fast;clear;cold;beautiful;quiet;flowing
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Places,valley,green;deep;narrow;quiet;beautiful;long;wide;cool;peaceful;hidden
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Places,village,small;quiet;old;peaceful;green;friendly;simple;poor;lovely;remote
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Plants,cactus,green;tall;sharp;dry;small;tough;spiky;hard;strange;wild
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Plants,eggplant,purple;long;soft;fresh;tasty;small;shiny;healthy;cooked;bitter
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Plants,flower,beautiful;colorful;small;fresh;soft;lovely;bright;sweet;red;fragrant
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Plants,grass,green;soft;thick;short;long;wet;fresh;tall;dry;cool
grok-3,think-in-native,1.0,ZH # Mandarin,B1,most frequent,Plants,lettuce,green;fresh;soft;light;healthy;crispy;small;raw;cold;tasty
