Linguistic_Family,Sample_Size,Response_Entropy,Mean_Diversity
Austro-Asiatic,120,5.200332985360289,50.0
Indo-European,1560,5.684189719408067,52.69230769230769
Indo-European-Albanian,120,5.203067751088011,52.0
Indo-European-Bengali,120,5.351210929600837,55.0
Japonic,120,5.347643951333662,55.0
Koreanic,120,5.2464859060379885,52.0
Niger-Congo,120,5.3634208219259545,54.0
Semitic,240,5.450637591341704,52.5
Sino-Tibetan,120,5.262320360598009,51.0
Tai-Kadai,120,5.131506530949991,47.0
Turkic,120,5.236401084565614,51.0
