Linguistic_Family,Sample_Size,Response_Entropy,Mean_Diversity
Austro-Asiatic,144,5.792000947265681,59.0
Indo-European,1872,6.036794314521463,62.15384615384615
Indo-European-Albanian,144,5.788596606873682,60.0
Indo-European-Bengali,144,5.849394436317009,63.0
Japonic,144,5.757142961383011,57.0
Koreanic,144,5.79540528751341,59.0
Niger-Congo,144,5.81637438450719,61.0
Semitic,288,5.838259999130184,60.5
Sino-Tibetan,144,5.79540528751341,59.0
Tai-Kadai,144,5.78151639876879,58.0
Turkic,144,5.863283325205899,63.0
