Language,Linguistic_Family,Linguistic_Subfamily,Sample_Size,Total_Responses,Unique_Responses,Response_Entropy,Lexical_Diversity,Response_Consistency,Mean_Response_Length,Code_Switching_Frequency,Mean_Response_Code,Std_Response_Code,Skewness,Kurtosis
AR # Arabic,Semitic,Semitic,36,36,14,3.647869790548339,0.3888888888888889,0.9166666666666666,1.0,0.0,5.972222222222222,3.982504175286303,0.19922969875840751,-1.1728996121883866
BN # Bengali,Indo-European-Bengali,Bengali,36,36,14,3.647869790548339,0.3888888888888889,0.9166666666666666,1.0,0.0,6.027777777777778,3.804135988274335,0.12169206062008112,-1.1707265891518115
DE # German,Indo-European,Germanic,36,36,16,3.8327315133723996,0.4444444444444444,0.8611111111111112,1.0,0.0,6.75,4.437059837324712,0.18872885230909914,-1.1525713813951128
ES # Spanish,Indo-European,Romance,36,36,13,3.5713451378547343,0.3611111111111111,0.9444444444444443,1.0,0.0,5.722222222222222,3.633265374831656,0.07483633762114587,-1.1594278176550867
FA # Persian,Indo-European,Indo-Iranian,36,36,14,3.647869790548339,0.3888888888888889,0.9166666666666666,1.0,0.0,6.111111111111111,3.7916412290559007,0.06420451158640218,-1.1568342712389184
FR # French,Indo-European,Romance,36,36,13,3.5713451378547343,0.3611111111111111,0.9444444444444443,1.0,0.0,5.722222222222222,3.633265374831656,0.07483633762114587,-1.1594278176550867
GA # Irish,Indo-European,Germanic,36,36,14,3.67968220798519,0.3888888888888889,0.9166666666666665,1.0,0.0,5.972222222222222,4.024136284907131,0.23029511471958625,-1.1790540701386374
HE # Hebrew,Semitic,Semitic,36,36,13,3.5713451378547343,0.3611111111111111,0.9444444444444443,1.0,0.0,5.805555555555555,3.5025343558029873,-0.026717964275530144,-1.2063238220366574
HI # Hindi,Indo-European,Indo-Iranian,36,36,15,3.724394443241943,0.4166666666666667,0.888888888888889,1.0,0.0,6.222222222222222,4.3147750753216885,0.30191844298209625,-1.1374218944015522
IT # Italian,Indo-European,Romance,36,36,15,3.7562068606787946,0.4166666666666667,0.8888888888888888,1.0,0.0,6.333333333333333,4.041451884327381,0.15436690968707512,-1.0842414126144293
JA # Japanese,Japonic,Japanese,36,36,15,3.724394443241943,0.4166666666666667,0.888888888888889,1.0,0.0,6.333333333333333,4.102844541697057,0.17530073827124398,-1.1546620237748013
KO # Korean,Koreanic,Korean,36,36,14,3.647869790548339,0.3888888888888889,0.9166666666666666,1.0,0.0,6.166666666666667,3.760171390892826,-0.010351262617618163,-1.1519215015266921
LV # Latvian,Indo-European,Baltic,36,36,12,3.4948204851611298,0.3333333333333333,0.9722222222222222,1.0,0.0,5.5,3.427827300200522,-0.001983399819686994,-1.2691720598673213
PL # Polish,Indo-European,Slavic,36,36,13,3.5713451378547343,0.3611111111111111,0.9444444444444443,1.0,0.0,5.777777777777778,3.697680287176386,0.0866637955855718,-1.1980241984719706
PS # Pashto,Indo-European,Indo-Iranian,36,36,14,3.647869790548339,0.3888888888888889,0.9166666666666666,1.0,0.0,6.027777777777778,3.804135988274335,0.12169206062008112,-1.1707265891518115
PT # Portuguese,Indo-European,Romance,36,36,13,3.5713451378547343,0.3611111111111111,0.9444444444444443,1.0,0.0,5.722222222222222,3.633265374831656,0.07483633762114587,-1.1594278176550867
RU # Russian,Indo-European,Slavic,36,36,14,3.647869790548339,0.3888888888888889,0.9166666666666666,1.0,0.0,6.083333333333333,3.773997291408084,0.04794894215912048,-1.1746542324745046
SQ # Albanian,Indo-European-Albanian,Albanian,36,36,13,3.5713451378547343,0.3611111111111111,0.9444444444444443,1.0,0.0,5.694444444444445,3.702997617879965,0.1471173106003716,-1.19708348419732
SW # Swahili,Niger-Congo,Bantu,36,36,15,3.7562068606787946,0.4166666666666667,0.8888888888888888,1.0,0.0,6.416666666666667,4.125631264828854,0.1488223441795465,-1.1611806161944906
TH # Thai,Tai-Kadai,Tai,36,36,13,3.5713451378547343,0.3611111111111111,0.9444444444444443,1.0,0.0,5.777777777777778,3.779411411487766,0.13278967053325125,-1.2716355223590132
TR # Turkish,Turkic,Turkic,36,36,14,3.647869790548339,0.3888888888888889,0.9166666666666666,1.0,0.0,6.111111111111111,3.7916412290559007,0.06420451158640218,-1.1568342712389184
UR # Urdu,Indo-European,Indo-Iranian,36,36,14,3.647869790548339,0.3888888888888889,0.9166666666666666,1.0,0.0,6.027777777777778,3.804135988274335,0.12169206062008112,-1.1707265891518115
VI # Vietnamese,Austro-Asiatic,Vietic,36,36,15,3.724394443241943,0.4166666666666667,0.888888888888889,1.0,0.0,6.305555555555555,4.299996411138324,0.2531341437023052,-1.1350068656136598
ZH # Mandarin,Sino-Tibetan,Chinese,36,36,13,3.5713451378547343,0.3611111111111111,0.9444444444444443,1.0,0.0,5.694444444444445,3.702997617879965,0.1471173106003716,-1.19708348419732
