language1,language2,chi2_statistic,p_value,significant,cohens_d,cohens_d_interpretation,effect_category,lang1_sample_size,lang2_sample_size
AR # Arabic,BN # Bengali,37.08877876509456,0.9988789130123918,False,0.15728693508077962,Negligible effect,negligible,120,120
AR # Arabic,DE # German,42.370879120879124,0.9937500620520356,False,0.030946946667522613,Negligible effect,negligible,120,120
AR # Arabic,ES # Spanish,34.515544586132826,0.9998339533019915,False,-0.12314736213042243,Negligible effect,negligible,120,120
AR # Arabic,FA # Persian,33.25598845598846,0.9996323612104023,False,0.0898284797818287,Negligible effect,negligible,120,120
AR # Arabic,FR # French,37.191705026999145,0.9988281774272076,False,0.16390866394813905,Negligible effect,negligible,120,120
AR # Arabic,GA # Irish,34.34126984126984,0.9995569065723976,False,0.19610272060539827,Negligible effect,negligible,120,120
AR # Arabic,HE # Hebrew,42.20609706770698,0.9940855961313478,False,0.22710955497214733,Small effect,small,120,120
AR # Arabic,HI # Hindi,35.623981573981574,0.998876413846005,False,0.16746076964758733,Negligible effect,negligible,120,120
AR # Arabic,IT # Italian,34.325036075036074,0.9991310321173709,False,0.21382050242557418,Small effect,small,120,120
AR # Arabic,JA # Japanese,37.32203352203352,0.9990987258313665,False,0.10771248269752762,Negligible effect,negligible,120,120
AR # Arabic,KO # Korean,44.40377955377956,0.9927537041860103,False,0.15605641870812434,Negligible effect,negligible,120,120
AR # Arabic,LV # Latvian,47.60475396636387,0.9650364929561854,False,0.2081296093445632,Small effect,small,120,120
AR # Arabic,PL # Polish,39.646780996781,0.9976516234684201,False,0.1977106350831433,Negligible effect,negligible,120,120
AR # Arabic,PS # Pashto,41.42320685850098,0.9954807326637704,False,0.11510027467088145,Negligible effect,negligible,120,120
AR # Arabic,PT # Portuguese,44.08264415323239,0.9915814169914825,False,0.0522991083603442,Negligible effect,negligible,120,120
AR # Arabic,RU # Russian,32.03055398707573,0.9997193216700565,False,0.08326752772582265,Negligible effect,negligible,120,120
AR # Arabic,SQ # Albanian,30.463997113997117,0.9998255793572695,False,0.23655188574370772,Small effect,small,120,120
