Language,Question,Response,Count,Percentage
AR # Arabic,A monkey jumps down from a tree branch near you in a public park. Do you interpret its behavior as a,Amusing,3,8.33
AR # Arabic,"From a boat, you notice a whale surfacing gently nearby. Does the whale's presence evoke awe or anxi",Awe,3,8.33
AR # Arabic,"In a small pet store, a hamster approaches your hand quickly. Do you perceive it as playful or aggre",Playful,3,8.33
AR # Arabic,"While hiking in the countryside, a rabbit quickly darts across your path. Does this seem peaceful or",Peaceful,1,2.78
AR # Arabic,"While hiking in the countryside, a rabbit quickly darts across your path. Does this seem peaceful or",Startling,2,5.56
AR # Arabic,"While snorkeling in shallow water, you see a shark swimming in the distance. Is your immediate feeli",Fear,3,8.33
AR # Arabic,"While swimming, a dolphin suddenly appears nearby. Is your first instinct friendliness or caution?",Caution,2,5.56
AR # Arabic,"While swimming, a dolphin suddenly appears nearby. Is your first instinct friendliness or caution?",Friendliness,1,2.78
AR # Arabic,You encounter a snake on a sunny rock during a nature walk. Is your initial reaction respect or fear,Fear,3,8.33
AR # Arabic,You find a mouse moving quietly across your room late at night. Do you feel indifferent or alarmed?,Alarmed,3,8.33
AR # Arabic,You see a cat quietly staring at you from a distance. Is the cat curious or suspicious?,Curious,2,5.56
AR # Arabic,You see a cat quietly staring at you from a distance. Is the cat curious or suspicious?,Suspicious,1,2.78
AR # Arabic,You see a peacock spreading its feathers near you in an open garden. Do you consider this display be,Beautiful,3,8.33
AR # Arabic,You spot a dog approaching slowly on an empty street at night. Do you feel protected or threatened?,Threatened,3,8.33
AR # Arabic,You're walking through a dense forest and notice an elephant standing calmly. Is this presence reass,Intimidating,3,8.33
BN # Bengali,A monkey jumps down from a tree branch near you in a public park. Do you interpret its behavior as a,Amusing,2,5.56
BN # Bengali,A monkey jumps down from a tree branch near you in a public park. Do you interpret its behavior as a,Threatening,1,2.78
BN # Bengali,"From a boat, you notice a whale surfacing gently nearby. Does the whale's presence evoke awe or anxi",Awe,3,8.33
BN # Bengali,"In a small pet store, a hamster approaches your hand quickly. Do you perceive it as playful or aggre",Playful,3,8.33
BN # Bengali,"While hiking in the countryside, a rabbit quickly darts across your path. Does this seem peaceful or",Peaceful,1,2.78
BN # Bengali,"While hiking in the countryside, a rabbit quickly darts across your path. Does this seem peaceful or",Startling,2,5.56
BN # Bengali,"While snorkeling in shallow water, you see a shark swimming in the distance. Is your immediate feeli",Fear,3,8.33
BN # Bengali,"While swimming, a dolphin suddenly appears nearby. Is your first instinct friendliness or caution?",Caution,2,5.56
BN # Bengali,"While swimming, a dolphin suddenly appears nearby. Is your first instinct friendliness or caution?",Friendliness,1,2.78
BN # Bengali,You encounter a snake on a sunny rock during a nature walk. Is your initial reaction respect or fear,Fear,3,8.33
BN # Bengali,You find a mouse moving quietly across your room late at night. Do you feel indifferent or alarmed?,Alarmed,3,8.33
BN # Bengali,You see a cat quietly staring at you from a distance. Is the cat curious or suspicious?,Curious,3,8.33
BN # Bengali,You see a peacock spreading its feathers near you in an open garden. Do you consider this display be,Beautiful,3,8.33
BN # Bengali,You spot a dog approaching slowly on an empty street at night. Do you feel protected or threatened?,Threatened,3,8.33
BN # Bengali,You're walking through a dense forest and notice an elephant standing calmly. Is this presence reass,Intimidating,3,8.33
DE # German,A monkey jumps down from a tree branch near you in a public park. Do you interpret its behavior as a,Amusing,2,5.56
DE # German,A monkey jumps down from a tree branch near you in a public park. Do you interpret its behavior as a,Threatening,1,2.78
DE # German,"From a boat, you notice a whale surfacing gently nearby. Does the whale's presence evoke awe or anxi",Awe,3,8.33
DE # German,"In a small pet store, a hamster approaches your hand quickly. Do you perceive it as playful or aggre",Playful,3,8.33
DE # German,"While hiking in the countryside, a rabbit quickly darts across your path. Does this seem peaceful or",Peaceful,1,2.78
DE # German,"While hiking in the countryside, a rabbit quickly darts across your path. Does this seem peaceful or",Startling,2,5.56
DE # German,"While snorkeling in shallow water, you see a shark swimming in the distance. Is your immediate feeli",Fear,3,8.33
DE # German,"While swimming, a dolphin suddenly appears nearby. Is your first instinct friendliness or caution?",Caution,1,2.78
DE # German,"While swimming, a dolphin suddenly appears nearby. Is your first instinct friendliness or caution?",Friendliness,2,5.56
DE # German,You encounter a snake on a sunny rock during a nature walk. Is your initial reaction respect or fear,Fear,2,5.56
DE # German,You encounter a snake on a sunny rock during a nature walk. Is your initial reaction respect or fear,Respect,1,2.78
DE # German,You find a mouse moving quietly across your room late at night. Do you feel indifferent or alarmed?,Alarmed,3,8.33
DE # German,You see a cat quietly staring at you from a distance. Is the cat curious or suspicious?,Curious,2,5.56
DE # German,You see a cat quietly staring at you from a distance. Is the cat curious or suspicious?,Suspicious,1,2.78
DE # German,You see a peacock spreading its feathers near you in an open garden. Do you consider this display be,Beautiful,3,8.33
DE # German,You spot a dog approaching slowly on an empty street at night. Do you feel protected or threatened?,Threatened,3,8.33
DE # German,You're walking through a dense forest and notice an elephant standing calmly. Is this presence reass,Intimidating,3,8.33
ES # Spanish,A monkey jumps down from a tree branch near you in a public park. Do you interpret its behavior as a,Amusing,3,8.33
ES # Spanish,"From a boat, you notice a whale surfacing gently nearby. Does the whale's presence evoke awe or anxi",Awe,3,8.33
ES # Spanish,"In a small pet store, a hamster approaches your hand quickly. Do you perceive it as playful or aggre",Playful,3,8.33
ES # Spanish,"While hiking in the countryside, a rabbit quickly darts across your path. Does this seem peaceful or",Peaceful,2,5.56
ES # Spanish,"While hiking in the countryside, a rabbit quickly darts across your path. Does this seem peaceful or",Startling,1,2.78
ES # Spanish,"While snorkeling in shallow water, you see a shark swimming in the distance. Is your immediate feeli",Fear,3,8.33
ES # Spanish,"While swimming, a dolphin suddenly appears nearby. Is your first instinct friendliness or caution?",Caution,1,2.78
ES # Spanish,"While swimming, a dolphin suddenly appears nearby. Is your first instinct friendliness or caution?",Friendliness,2,5.56
ES # Spanish,You encounter a snake on a sunny rock during a nature walk. Is your initial reaction respect or fear,Fear,3,8.33
ES # Spanish,You find a mouse moving quietly across your room late at night. Do you feel indifferent or alarmed?,Alarmed,3,8.33
ES # Spanish,You see a cat quietly staring at you from a distance. Is the cat curious or suspicious?,Curious,3,8.33
