language1,language2,chi2_statistic,p_value,significant,cohens_d,cohens_d_interpretation,effect_category,lang1_sample_size,lang2_sample_size
AR # Arabic,BN # Bengali,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
AR # Arabic,DE # German,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
AR # Arabic,ES # Spanish,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
AR # Arabic,FA # Persian,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
AR # Arabic,FR # French,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
AR # Arabic,GA # Irish,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
AR # Arabic,HE # Hebrew,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
AR # Arabic,HI # Hindi,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
AR # Arabic,IT # Italian,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
AR # Arabic,JA # Japanese,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
AR # Arabic,KO # Korean,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
AR # Arabic,LV # Latvian,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
AR # Arabic,PL # Polish,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
AR # Arabic,PS # Pashto,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
AR # Arabic,PT # Portuguese,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
AR # Arabic,RU # Russian,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
AR # Arabic,SQ # Albanian,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
AR # Arabic,SW # Swahili,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
AR # Arabic,TH # Thai,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
AR # Arabic,TR # Turkish,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
AR # Arabic,UR # Urdu,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
AR # Arabic,VI # Vietnamese,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
AR # Arabic,ZH # Mandarin,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
BN # Bengali,DE # German,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
BN # Bengali,ES # Spanish,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
BN # Bengali,FA # Persian,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
BN # Bengali,FR # French,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
BN # Bengali,GA # Irish,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
BN # Bengali,HE # Hebrew,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
BN # Bengali,HI # Hindi,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
BN # Bengali,IT # Italian,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
BN # Bengali,JA # Japanese,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
BN # Bengali,KO # Korean,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
BN # Bengali,LV # Latvian,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
BN # Bengali,PL # Polish,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
BN # Bengali,PS # Pashto,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
BN # Bengali,PT # Portuguese,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
BN # Bengali,RU # Russian,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
BN # Bengali,SQ # Albanian,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
BN # Bengali,SW # Swahili,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
BN # Bengali,TH # Thai,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
BN # Bengali,TR # Turkish,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
BN # Bengali,UR # Urdu,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
BN # Bengali,VI # Vietnamese,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
BN # Bengali,ZH # Mandarin,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
DE # German,ES # Spanish,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
DE # German,FA # Persian,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
DE # German,FR # French,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
DE # German,GA # Irish,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
DE # German,HE # Hebrew,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
DE # German,HI # Hindi,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
DE # German,IT # Italian,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
DE # German,JA # Japanese,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
DE # German,KO # Korean,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
DE # German,LV # Latvian,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
DE # German,PL # Polish,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
DE # German,PS # Pashto,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
DE # German,PT # Portuguese,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
DE # German,RU # Russian,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
DE # German,SQ # Albanian,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
DE # German,SW # Swahili,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
DE # German,TH # Thai,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
DE # German,TR # Turkish,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
DE # German,UR # Urdu,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
DE # German,VI # Vietnamese,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
DE # German,ZH # Mandarin,0.13574660633484165,0.9343788489187518,False,0.04648485547789949,Negligible effect,negligible,24,24
ES # Spanish,FA # Persian,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
ES # Spanish,FR # French,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
ES # Spanish,GA # Irish,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
ES # Spanish,HE # Hebrew,0.13574660633484165,0.9343788489187518,False,-0.04648485547789949,Negligible effect,negligible,24,24
ES # Spanish,HI # Hindi,0.13574660633484165,0.9343788489187518,False,-0.04648485547789949,Negligible effect,negligible,24,24
ES # Spanish,IT # Italian,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
ES # Spanish,JA # Japanese,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
ES # Spanish,KO # Korean,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
ES # Spanish,LV # Latvian,0.13574660633484165,0.9343788489187518,False,-0.04648485547789949,Negligible effect,negligible,24,24
ES # Spanish,PL # Polish,0.13574660633484165,0.9343788489187518,False,-0.04648485547789949,Negligible effect,negligible,24,24
ES # Spanish,PS # Pashto,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
ES # Spanish,PT # Portuguese,0.13574660633484165,0.9343788489187518,False,-0.04648485547789949,Negligible effect,negligible,24,24
ES # Spanish,RU # Russian,0.13574660633484165,0.9343788489187518,False,-0.04648485547789949,Negligible effect,negligible,24,24
ES # Spanish,SQ # Albanian,0.0,1.0,False,0.0,Negligible effect,negligible,24,24
