Language,Response,Count,Percentage
AR # Arabic,angry,8,33.33
AR # Arabic,neutral,7,29.17
AR # Arabic,surprised,1,4.17
BN # Bengali,angry,8,33.33
BN # Bengali,neutral,7,29.17
BN # Bengali,surprised,1,4.17
DE # German,angry,8,33.33
DE # German,neutral,7,29.17
DE # German,surprised,1,4.17
ES # Spanish,angry,9,37.5
ES # Spanish,neutral,6,25.0
ES # Spanish,surprised,1,4.17
FA # Persian,angry,9,37.5
FA # Persian,neutral,6,25.0
FA # Persian,surprised,1,4.17
FR # French,angry,9,37.5
FR # French,neutral,6,25.0
FR # French,surprised,1,4.17
GA # Irish,angry,9,37.5
GA # Irish,neutral,6,25.0
GA # Irish,surprised,1,4.17
HE # Hebrew,angry,8,33.33
HE # Hebrew,neutral,7,29.17
HE # Hebrew,surprised,1,4.17
HI # Hindi,angry,8,33.33
HI # Hindi,neutral,7,29.17
HI # Hindi,surprised,1,4.17
IT # Italian,angry,9,37.5
IT # Italian,neutral,6,25.0
IT # Italian,surprised,1,4.17
JA # Japanese,angry,9,37.5
JA # Japanese,neutral,6,25.0
JA # Japanese,surprised,1,4.17
KO # Korean,angry,9,37.5
KO # Korean,neutral,6,25.0
KO # Korean,surprised,1,4.17
LV # Latvian,angry,8,33.33
LV # Latvian,neutral,7,29.17
LV # Latvian,surprised,1,4.17
PL # Polish,angry,8,33.33
PL # Polish,neutral,7,29.17
PL # Polish,surprised,1,4.17
PS # Pashto,angry,9,37.5
PS # Pashto,neutral,6,25.0
PS # Pashto,surprised,1,4.17
PT # Portuguese,angry,8,33.33
PT # Portuguese,neutral,7,29.17
PT # Portuguese,surprised,1,4.17
RU # Russian,angry,8,33.33
RU # Russian,neutral,7,29.17
RU # Russian,surprised,1,4.17
SQ # Albanian,angry,9,37.5
SQ # Albanian,neutral,6,25.0
SQ # Albanian,surprised,1,4.17
SW # Swahili,angry,9,37.5
SW # Swahili,neutral,6,25.0
SW # Swahili,surprised,1,4.17
TH # Thai,angry,8,33.33
TH # Thai,neutral,7,29.17
TH # Thai,surprised,1,4.17
TR # Turkish,angry,9,37.5
TR # Turkish,neutral,6,25.0
TR # Turkish,surprised,1,4.17
UR # Urdu,angry,9,37.5
UR # Urdu,neutral,6,25.0
UR # Urdu,surprised,1,4.17
VI # Vietnamese,angry,9,37.5
VI # Vietnamese,neutral,6,25.0
VI # Vietnamese,surprised,1,4.17
ZH # Mandarin,angry,9,37.5
ZH # Mandarin,neutral,6,25.0
ZH # Mandarin,surprised,1,4.17
