Language,Response,Count,Percentage
AR # Arabic,bread,2,4.17
AR # Arabic,flag,2,4.17
AR # Arabic,desert,2,4.17
AR # Arabic,justice,2,4.17
AR # Arabic,evening,1,2.08
AR # Arabic,brother,1,2.08
AR # Arabic,lake,1,2.08
AR # Arabic,second,1,2.08
AR # Arabic,forest,1,2.08
AR # Arabic,cactus,1,2.08
AR # Arabic,rose,1,2.08
AR # Arabic,grass,1,2.08
AR # Arabic,tomato,1,2.08
AR # Arabic,rival,1,2.08
AR # Arabic,morning,1,2.08
AR # Arabic,father,1,2.08
AR # Arabic,dog,1,2.08
AR # Arabic,stranger,1,2.08
AR # Arabic,east,1,2.08
AR # Arabic,inside,1,2.08
AR # Arabic,west,1,2.08
AR # Arabic,above,1,2.08
AR # Arabic,courage,1,2.08
AR # Arabic,elephant,1,2.08
AR # Arabic,dolphin,1,2.08
AR # Arabic,peacock,1,2.08
AR # Arabic,wisdom,1,2.08
AR # Arabic,carpet,1,2.08
AR # Arabic,painting,1,2.08
AR # Arabic,earthquake,1,2.08
AR # Arabic,rain,1,2.08
AR # Arabic,volcano,1,2.08
AR # Arabic,fog,1,2.08
AR # Arabic,apple,1,2.08
AR # Arabic,fish,1,2.08
AR # Arabic,artist,1,2.08
AR # Arabic,soldier,1,2.08
AR # Arabic,teacher,1,2.08
AR # Arabic,farmer,1,2.08
AR # Arabic,book,1,2.08
AR # Arabic,bridge,1,2.08
AR # Arabic,moon,1,2.08
AR # Arabic,lock,1,2.08
AR # Arabic,century,1,2.08
BN # Bengali,flag,2,4.17
BN # Bengali,courage,1,2.08
BN # Bengali,brother,1,2.08
BN # Bengali,dog,1,2.08
BN # Bengali,lake,1,2.08
BN # Bengali,mountain,1,2.08
BN # Bengali,river,1,2.08
BN # Bengali,island,1,2.08
BN # Bengali,cactus,1,2.08
BN # Bengali,rose,1,2.08
BN # Bengali,grass,1,2.08
BN # Bengali,potato,1,2.08
BN # Bengali,rival,1,2.08
BN # Bengali,elephant,1,2.08
BN # Bengali,father,1,2.08
BN # Bengali,stranger,1,2.08
BN # Bengali,east,1,2.08
BN # Bengali,inside,1,2.08
BN # Bengali,outside,1,2.08
BN # Bengali,above,1,2.08
BN # Bengali,morning,1,2.08
BN # Bengali,evening,1,2.08
BN # Bengali,second,1,2.08
BN # Bengali,dolphin,1,2.08
BN # Bengali,peacock,1,2.08
BN # Bengali,honesty,1,2.08
BN # Bengali,lock,1,2.08
BN # Bengali,peace,1,2.08
BN # Bengali,freedom,1,2.08
BN # Bengali,coin,1,2.08
BN # Bengali,painting,1,2.08
BN # Bengali,lightning,1,2.08
BN # Bengali,rain,1,2.08
BN # Bengali,thunder,1,2.08
BN # Bengali,fog,1,2.08
BN # Bengali,apple,1,2.08
BN # Bengali,soup,1,2.08
BN # Bengali,fish,1,2.08
BN # Bengali,rice,1,2.08
BN # Bengali,artist,1,2.08
BN # Bengali,soldier,1,2.08
BN # Bengali,teacher,1,2.08
BN # Bengali,farmer,1,2.08
BN # Bengali,book,1,2.08
BN # Bengali,bridge,1,2.08
BN # Bengali,moon,1,2.08
BN # Bengali,century,1,2.08
DE # German,dolphin,2,4.17
DE # German,bread,2,4.17
DE # German,flag,2,4.17
DE # German,mountain,1,2.08
DE # German,forest,1,2.08
DE # German,island,1,2.08
DE # German,cactus,1,2.08
DE # German,rose,1,2.08
DE # German,grass,1,2.08
DE # German,potato,1,2.08
DE # German,brother,1,2.08
DE # German,rival,1,2.08
DE # German,father,1,2.08
DE # German,dog,1,2.08
DE # German,stranger,1,2.08
DE # German,front,1,2.08
DE # German,inside,1,2.08
DE # German,west,1,2.08
DE # German,above,1,2.08
DE # German,morning,1,2.08
DE # German,evening,1,2.08
DE # German,second,1,2.08
DE # German,lake,1,2.08
DE # German,courage,1,2.08
DE # German,elephant,1,2.08
DE # German,apple,1,2.08
DE # German,wisdom,1,2.08
DE # German,freedom,1,2.08
DE # German,coin,1,2.08
DE # German,painting,1,2.08
DE # German,lightning,1,2.08
DE # German,rainbow,1,2.08
DE # German,volcano,1,2.08
DE # German,fog,1,2.08
DE # German,egg,1,2.08
DE # German,honesty,1,2.08
DE # German,artist,1,2.08
DE # German,soldier,1,2.08
DE # German,teacher,1,2.08
DE # German,farmer,1,2.08
DE # German,book,1,2.08
DE # German,bridge,1,2.08
DE # German,moon,1,2.08
DE # German,lock,1,2.08
DE # German,century,1,2.08
ES # Spanish,dolphin,2,4.17
ES # Spanish,flag,2,4.17
ES # Spanish,rival,1,2.08
ES # Spanish,lake,1,2.08
ES # Spanish,mountain,1,2.08
ES # Spanish,forest,1,2.08
ES # Spanish,desert,1,2.08
ES # Spanish,cactus,1,2.08
ES # Spanish,rose,1,2.08
ES # Spanish,grass,1,2.08
ES # Spanish,potato,1,2.08
ES # Spanish,brother,1,2.08
ES # Spanish,father,1,2.08
ES # Spanish,elephant,1,2.08
ES # Spanish,stranger,1,2.08
ES # Spanish,front,1,2.08
ES # Spanish,inside,1,2.08
ES # Spanish,west,1,2.08
ES # Spanish,above,1,2.08
ES # Spanish,morning,1,2.08
ES # Spanish,evening,1,2.08
ES # Spanish,second,1,2.08
ES # Spanish,dog,1,2.08
ES # Spanish,courage,1,2.08
ES # Spanish,honesty,1,2.08
ES # Spanish,lock,1,2.08
ES # Spanish,love,1,2.08
ES # Spanish,justice,1,2.08
ES # Spanish,coin,1,2.08
ES # Spanish,painting,1,2.08
ES # Spanish,earthquake,1,2.08
ES # Spanish,rainbow,1,2.08
ES # Spanish,volcano,1,2.08
ES # Spanish,fog,1,2.08
ES # Spanish,apple,1,2.08
ES # Spanish,soup,1,2.08
ES # Spanish,egg,1,2.08
ES # Spanish,bread,1,2.08
ES # Spanish,artist,1,2.08
ES # Spanish,soldier,1,2.08
ES # Spanish,teacher,1,2.08
ES # Spanish,farmer,1,2.08
ES # Spanish,book,1,2.08
ES # Spanish,bridge,1,2.08
ES # Spanish,moon,1,2.08
ES # Spanish,century,1,2.08
FA # Persian,flag,2,4.17
FA # Persian,courage,1,2.08
FA # Persian,brother,1,2.08
FA # Persian,dog,1,2.08
FA # Persian,lake,1,2.08
FA # Persian,mountain,1,2.08
FA # Persian,forest,1,2.08
FA # Persian,desert,1,2.08
FA # Persian,cactus,1,2.08
FA # Persian,rose,1,2.08
FA # Persian,grass,1,2.08
FA # Persian,tomato,1,2.08
FA # Persian,rival,1,2.08
FA # Persian,elephant,1,2.08
FA # Persian,father,1,2.08
FA # Persian,stranger,1,2.08
FA # Persian,front,1,2.08
FA # Persian,inside,1,2.08
FA # Persian,west,1,2.08
FA # Persian,above,1,2.08
FA # Persian,morning,1,2.08
FA # Persian,evening,1,2.08
FA # Persian,second,1,2.08
FA # Persian,dolphin,1,2.08
FA # Persian,peacock,1,2.08
FA # Persian,justice,1,2.08
FA # Persian,lock,1,2.08
FA # Persian,wisdom,1,2.08
FA # Persian,freedom,1,2.08
FA # Persian,carpet,1,2.08
FA # Persian,painting,1,2.08
FA # Persian,earthquake,1,2.08
FA # Persian,rain,1,2.08
FA # Persian,volcano,1,2.08
FA # Persian,fog,1,2.08
FA # Persian,apple,1,2.08
FA # Persian,bread,1,2.08
FA # Persian,fish,1,2.08
FA # Persian,rice,1,2.08
FA # Persian,artist,1,2.08
FA # Persian,soldier,1,2.08
FA # Persian,teacher,1,2.08
FA # Persian,farmer,1,2.08
FA # Persian,book,1,2.08
FA # Persian,bridge,1,2.08
FA # Persian,moon,1,2.08
FA # Persian,century,1,2.08
FR # French,bread,2,4.17
FR # French,flag,2,4.17
FR # French,rival,1,2.08
FR # French,lake,1,2.08
FR # French,mountain,1,2.08
FR # French,forest,1,2.08
FR # French,island,1,2.08
FR # French,cactus,1,2.08
FR # French,rose,1,2.08
FR # French,grass,1,2.08
FR # French,potato,1,2.08
FR # French,brother,1,2.08
FR # French,courage,1,2.08
FR # French,dolphin,1,2.08
FR # French,father,1,2.08
FR # French,stranger,1,2.08
FR # French,front,1,2.08
FR # French,inside,1,2.08
FR # French,outside,1,2.08
FR # French,above,1,2.08
FR # French,morning,1,2.08
FR # French,evening,1,2.08
FR # French,second,1,2.08
FR # French,dog,1,2.08
FR # French,elephant,1,2.08
FR # French,justice,1,2.08
FR # French,apple,1,2.08
FR # French,love,1,2.08
FR # French,freedom,1,2.08
FR # French,coin,1,2.08
FR # French,painting,1,2.08
FR # French,lightning,1,2.08
FR # French,rainbow,1,2.08
FR # French,volcano,1,2.08
FR # French,fog,1,2.08
FR # French,fish,1,2.08
FR # French,cat,1,2.08
FR # French,artist,1,2.08
FR # French,soldier,1,2.08
FR # French,teacher,1,2.08
FR # French,farmer,1,2.08
FR # French,book,1,2.08
FR # French,bridge,1,2.08
FR # French,moon,1,2.08
FR # French,lock,1,2.08
FR # French,century,1,2.08
GA # Irish,potato,3,6.25
GA # Irish,flag,2,4.17
GA # Irish,dolphin,2,4.17
GA # Irish,courage,1,2.08
GA # Irish,rival,1,2.08
GA # Irish,dog,1,2.08
GA # Irish,lake,1,2.08
GA # Irish,mountain,1,2.08
GA # Irish,forest,1,2.08
GA # Irish,island,1,2.08
GA # Irish,rose,1,2.08
GA # Irish,grass,1,2.08
GA # Irish,brother,1,2.08
