Language,Response,Count,Percentage
AR # Arabic,Fear,2,16.67
AR # Arabic,Curious,1,8.33
AR # Arabic,Threatened,1,8.33
AR # Arabic,Caution,1,8.33
AR # Arabic,Intimidating,1,8.33
AR # Arabic,Playful,1,8.33
AR # Arabic,Amusing,1,8.33
AR # Arabic,Alarmed,1,8.33
AR # Arabic,Beautiful,1,8.33
AR # Arabic,Startling,1,8.33
AR # Arabic,Awe,1,8.33
BN # Bengali,Fear,2,16.67
BN # Bengali,Curious,1,8.33
BN # Bengali,Threatened,1,8.33
BN # Bengali,Caution,1,8.33
BN # Bengali,Intimidating,1,8.33
BN # Bengali,Playful,1,8.33
BN # Bengali,Amusing,1,8.33
BN # Bengali,Alarmed,1,8.33
BN # Bengali,Beautiful,1,8.33
BN # Bengali,Startling,1,8.33
BN # Bengali,Awe,1,8.33
DE # German,Curious,1,8.33
DE # German,Threatened,1,8.33
DE # German,Caution,1,8.33
DE # German,Intimidating,1,8.33
DE # German,Playful,1,8.33
DE # German,Amusing,1,8.33
DE # German,Alarmed,1,8.33
DE # German,Beautiful,1,8.33
DE # German,Startling,1,8.33
DE # German,Fear,1,8.33
DE # German,Respect,1,8.33
DE # German,Awe,1,8.33
ES # Spanish,Fear,2,16.67
ES # Spanish,Curious,1,8.33
ES # Spanish,Threatened,1,8.33
ES # Spanish,Caution,1,8.33
ES # Spanish,Intimidating,1,8.33
ES # Spanish,Playful,1,8.33
ES # Spanish,Amusing,1,8.33
ES # Spanish,Alarmed,1,8.33
ES # Spanish,Beautiful,1,8.33
ES # Spanish,Startling,1,8.33
ES # Spanish,Awe,1,8.33
FA # Persian,Fear,2,16.67
FA # Persian,Curious,1,8.33
FA # Persian,Threatened,1,8.33
FA # Persian,Caution,1,8.33
FA # Persian,Intimidating,1,8.33
FA # Persian,Playful,1,8.33
FA # Persian,Amusing,1,8.33
FA # Persian,Alarmed,1,8.33
FA # Persian,Beautiful,1,8.33
FA # Persian,Startling,1,8.33
FA # Persian,Awe,1,8.33
FR # French,Fear,2,16.67
FR # French,Curious,1,8.33
FR # French,Threatened,1,8.33
FR # French,Caution,1,8.33
FR # French,Intimidating,1,8.33
FR # French,Playful,1,8.33
FR # French,Amusing,1,8.33
FR # French,Alarmed,1,8.33
FR # French,Beautiful,1,8.33
FR # French,Startling,1,8.33
FR # French,Awe,1,8.33
GA # Irish,Curious,1,8.33
GA # Irish,Threatened,1,8.33
GA # Irish,Caution,1,8.33
GA # Irish,Intimidating,1,8.33
GA # Irish,Playful,1,8.33
GA # Irish,Amusing,1,8.33
GA # Irish,Alarmed,1,8.33
GA # Irish,Beautiful,1,8.33
GA # Irish,Startling,1,8.33
GA # Irish,Fear,1,8.33
GA # Irish,Respect,1,8.33
GA # Irish,Awe,1,8.33
HE # Hebrew,Fear,2,16.67
HE # Hebrew,Curious,1,8.33
HE # Hebrew,Threatened,1,8.33
HE # Hebrew,Caution,1,8.33
HE # Hebrew,Intimidating,1,8.33
